Round,Home/Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
1,vs ,Zalgiris,30,50,60.0%,5,18,27.8%,9,12,75.0%,12,28,40,19,4,11,4,2,22,18,98,84,89,0,173,-5
2,vs ,Dubai,30,49,61.2%,10,18,55.6%,13,18,72.2%,8,22,30,27,9,8,3,2,24,25,131,103,81,1,184,22
3,@,Armani Milan,20,34,58.8%,7,26,26.9%,21,30,70.0%,9,29,38,18,2,7,3,3,21,24,94,82,79,1,161,3
4,@,Virtus Bologna,12,36,33.3%,11,26,42.3%,16,19,84.2%,9,24,33,17,6,9,4,4,19,21,80,73,77,0,150,-4
5,vs ,Valencia,26,52,50.0%,7,19,36.8%,17,20,85.0%,13,24,37,21,7,11,4,6,22,24,103,90,84,1,174,6
6,@,Hapoel,17,37,45.9%,9,31,29.0%,16,21,76.2%,16,19,35,16,5,11,1,7,19,19,69,77,85,0,162,-8
7,@,Olympiacos,23,36,63.9%,10,24,41.7%,16,22,72.7%,6,20,26,21,5,8,0,2,26,23,98,92,87,1,179,5
8,vs ,Panathinaikos,26,39,66.7%,8,25,32.0%,16,19,84.2%,8,28,36,25,7,11,4,2,19,19,118,92,84,1,176,8
9,@,Maccabi,27,43,62.8%,12,35,34.3%,22,30,73.3%,11,27,38,28,8,9,1,4,23,28,132,112,107,1,219,5
10,@,Partizan,18,34,52.9%,5,22,22.7%,25,31,80.6%,7,25,32,15,6,10,2,2,19,27,88,76,78,0,154,-2
11,@,Crvena Zvezda,23,37,62.2%,7,21,33.3%,12,19,63.2%,8,22,30,16,6,15,5,1,25,20,80,79,91,0,170,-12
12,@,Asvel,22,38,57.9%,6,25,24.0%,22,28,78.6%,12,25,37,18,18,10,1,1,22,23,107,84,52,1,136,32
13,vs ,Anadolu Efes,28,42,66.7%,5,21,23.8%,31,33,93.9%,13,20,33,28,15,9,0,0,18,31,150,102,66,1,168,36
14,vs ,Paris,25,37,67.6%,17,28,60.7%,24,28,85.7%,8,27,35,30,9,15,4,2,21,21,159,125,104,1,229,21
15,vs ,Fenerbahce,19,42,45.2%,7,22,31.8%,27,32,84.4%,9,21,30,16,7,11,0,2,24,26,85,86,92,0,178,-6
16,@,Baskonia,20,52,38.5%,4,19,21.1%,21,23,91.3%,14,24,38,12,9,10,4,6,26,25,70,73,85,0,158,-12
17,vs ,Bayern Munich,30,42,71.4%,8,20,40.0%,19,22,86.4%,10,31,41,24,5,12,5,1,17,26,147,103,77,1,180,26
18,vs ,Real Madrid,28,50,56.0%,9,24,37.5%,17,20,85.0%,17,23,40,17,9,13,5,2,23,22,115,100,95,1,195,5
19,@,Barcelona,25,47,53.2%,9,21,42.9%,13,16,81.3%,13,25,38,19,7,11,4,0,20,20,110,90,74,1,164,16
20,vs ,Partizan,22,37,59.5%,15,25,60.0%,12,16,75.0%,9,23,32,22,7,15,4,1,17,19,123,101,84,1,185,17
21,@,Valencia,26,40,65.0%,11,23,47.8%,16,21,76.2%,7,19,26,28,12,14,2,4,23,20,117,101,92,1,193,9
22,@,Paris,18,39,46.2%,14,37,37.8%,17,20,85.0%,14,25,39,19,7,6,9,2,20,21,115,95,87,1,182,8
23,vs ,Crvena Zvezda (OT),22,44,50.0%,11,36,30.6%,19,26,73.1%,17,20,37,23,9,11,3,3,22,24,102,96,100,0,196,-4
24,@,Real Madrid,21,43,48.8%,9,27,33.3%,9,10,90.0%,10,20,30,15,6,9,1,2,27,16,67,78,90,0,168,-12
25,vs ,Virtus Bologna,13,28,46.4%,13,33,39.4%,17,24,70.8%,12,17,29,18,8,9,0,3,16,20,87,82,84,0,166,-2
26,@,Zalgiris,24,47,51.1%,6,18,33.3%,21,27,77.8%,9,25,34,22,6,9,4,1,29,27,100,87,104,0,191,-17
27,@,Bayern Munich,19,32,59.4%,10,30,33.3%,14,18,77.8%,13,24,37,17,3,14,4,1,19,22,94,82,91,0,173,-9
28,vs ,Baskonia,27,44,61.4%,9,25,36.0%,21,24,87.5%,12,22,34,22,3,10,4,0,23,25,121,102,92,1,194,10
29,vs ,Maccabi,20,32,62.5%,7,35,20.0%,25,27,92.6%,12,21,33,24,5,10,2,3,21,26,100,86,91,0,177,-5
30,@,Fenerbahce,19,43,44.2%,4,19,21.1%,20,23,87.0%,11,22,33,19,5,12,4,1,20,19,75,70,88,0,158,-18
31,vs ,Olympiacos,26,41,63.4%,5,24,20.8%,14,16,87.5%,10,26,36,19,7,11,1,1,25,18,89,81,80,1,161,1
32,@,Anadolu Efes,25,37,67.6%,6,16,37.5%,30,36,83.3%,11,24,35,22,3,16,1,2,25,29,117,98,93,1,191,5
33,vs ,Armani Milan,27,48,56.3%,7,20,35.0%,15,22,68.2%,10,25,35,20,6,5,2,1,17,22,111,90,85,1,175,5
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Average,,,23,41,56.2%,8.6,24.6,34.9%,18.4,22.8,80.5%,10.9,23.5,34.5,20.5,7,10.7,2.9,2.2,21.6,22.7,104.6,90.1,86.3,19,176.4,3.76
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
,,,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,,
