Team,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,,,
,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,,,
Fenerbahce,19.4,35.4,55.1%,9.5,26.1,36.2%,15.4,19.1,81.2%,11.1,24.4,35.5,16.2,5.2,13.5,2.8,2.1,23.2,20.1,87.5,82.6,80,23,162.6,,,
Olympiacos,21.2,35.7,59.6%,9.7,27.5,34.8%,18.8,24.1,78.1%,12.4,24.3,36.6,21.2,6.4,12.6,2.4,2.1,18.8,22.7,108.7,90.4,84.1,22,174.5,,,
Real Madrid,20.6,36.6,56.7%,9.8,26.1,37.8%,17.2,21.9,78.0%,11.9,25.9,37.8,18.7,6.1,12.7,4,2.7,19.7,21.5,103.8,87.8,82.8,21,170.6,,,
Valencia,20.4,35.9,56.9%,11.8,31.7,37.4%,14,19.3,72.6%,13,24.5,37.5,20.5,6.8,12.9,3.1,2.5,20.9,20.3,100.6,89.6,85.6,21,175.2,,,
Barcelona,21.3,38.6,55.4%,9.5,25.6,37.2%,13.9,17.6,80.0%,11.4,21.8,33.2,18,7.1,12.3,1.7,2.3,20.8,20.5,93,84,82.5,20,166.5,,,
Hapoel,22.7,37.9,59.6%,9.2,24.8,36.9%,14.2,17.9,79.1%,8.7,24.3,33,17.3,6.3,12.4,2.8,2.9,19.7,20.6,97.7,87.1,83.6,20,170.7,,,
AS Monaco,23,41,56.2%,8.6,24.6,34.9%,18.4,22.8,80.5%,10.9,23.5,34.5,20.5,7,10.7,2.9,2.2,21.6,22.7,104.6,90.1,86.3,19,176.4,,,
Panathinaikos,22.7,40.2,57.0%,8.3,23.5,35.5%,16,19.9,79.8%,10.6,22.8,33.5,18.5,6.5,11.2,2.1,2.3,20.1,21.3,97.3,86.2,84.7,19,170.9,,,
Zalgiris,21.9,39.9,55.1%,9.8,24.7,40.3%,15.2,20.1,75.7%,11.3,23.5,34.9,19.4,6,11.5,2.7,2.7,20.3,20.6,99.9,88.5,83.7,19,172.2,,,
Crvena Zvezda,22.2,39.6,56.3%,8.9,25.5,34.8%,15.9,21.6,74.2%,14.1,25,39.1,20,6.1,13.9,2,2.8,21.1,21.7,97.7,87.1,85.4,19,172.5,,,
Dubai,22.2,39.8,55.8%,8.1,23.4,34.3%,19.6,24,81.9%,10.2,24.1,34.3,18.8,5.8,10.5,2.8,2.3,22.2,21.5,99.5,88.4,88,17,176.4,,,
Armani Milan,19.7,35.9,55.0%,10.1,25.8,39.0%,15.8,19.7,79.8%,10.1,23.3,33.4,18.4,5.1,11.7,2.1,2.3,19.6,21.2,96.2,85.3,86.2,16,171.5,,,
