Round,Home/Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
1,vs,Maccabi,23,37,62.2%,9,29,31.0%,12,15,80.0%,14,26,40,15,6,14,1,3,21,20,92,85,78,1,163,7
2,vs,Hapoel,23,39,59.0%,5,20,25.0%,20,21,95.2%,12,20,32,12,4,8,2,2,21,23,91,81,87,0,168,-6
3,@,Partizan,13,20,65.0%,12,32,37.5%,25,30,83.3%,8,22,30,18,5,14,2,1,20,23,98,87,93,0,180,-6
4,@,Olympiacos,18,44,40.9%,12,28,42.9%,10,12,83.3%,12,24,36,15,9,9,4,3,24,18,84,82,78,1,160,4
5,vs,Panathinaikos,17,37,45.9%,11,24,45.8%,14,20,70.0%,10,19,29,15,5,10,3,1,17,17,83,81,95,0,176,-14
6,vs,Fenerbahce,15,29,51.7%,9,25,36.0%,12,22,54.5%,7,20,27,18,7,14,1,2,20,26,72,69,79,0,148,-10
7,@,Paris,21,37,56.8%,8,28,28.6%,24,28,85.7%,12,25,37,19,7,11,4,3,22,22,103,90,80,1,170,10
8,@,Baskonia,12,27,44.4%,14,37,37.8%,9,12,75.0%,12,19,31,18,6,14,0,7,21,20,67,75,86,0,161,-11
9,vs,Armani Milan,29,49,59.2%,10,32,31.3%,5,5,100.0%,10,21,31,19,5,12,2,1,22,17,90,93,97,0,190,-4
10,@,Virtus,21,36,58.3%,13,33,39.4%,8,10,80.0%,13,16,29,21,6,10,2,3,16,18,99,89,99,0,188,-10
11,vs,Bayern Munich,17,31,54.8%,9,24,37.5%,13,17,76.5%,9,24,33,18,7,15,2,2,20,22,86,74,72,1,146,2
12,vs,Barcelona,18,27,66.7%,5,19,26.3%,23,30,76.7%,11,25,36,14,3,17,1,4,19,24,82,74,73,1,147,1
13,@,AS Monaco,16,26,61.5%,9,24,37.5%,7,11,63.6%,4,17,21,15,3,23,0,0,31,18,40,66,102,0,168,-36
14,vs,Real Madrid,18,41,43.9%,10,24,41.7%,9,11,81.8%,12,18,30,20,7,14,1,5,20,19,74,75,81,0,156,-6
15,@,Valencia,21,34,61.8%,9,27,33.3%,13,17,76.5%,10,24,34,15,7,14,1,4,19,17,84,82,94,0,176,-12
16,@,Zalgiris,17,37,45.9%,11,22,50.0%,20,26,76.9%,7,28,35,22,9,6,2,2,20,20,110,87,64,1,151,23
17,vs,Dubai,19,37,51.4%,8,25,32.0%,14,19,73.7%,11,23,34,12,4,10,2,3,24,20,71,76,80,0,156,-4
18,@,Asvel (OT),23,43,53.5%,10,25,40.0%,23,29,79.3%,11,26,37,16,5,15,3,3,28,24,97,99,103,0,202,-4
19,vs,Crvena Zvezda,20,33,60.6%,4,26,15.4%,13,15,86.7%,5,17,22,17,15,22,1,2,18,16,60,65,87,0,152,-22
20,vs,Paris,20,31,64.5%,8,24,33.3%,15,17,88.2%,5,24,29,22,6,19,2,3,20,19,86,79,84,0,163,-5
21,@,Armani Milan,22,32,68.8%,7,25,28.0%,9,13,69.2%,9,17,26,16,9,15,4,0,20,19,81,74,87,0,161,-13
22,vs,Baskonia,21,43,48.8%,8,19,42.1%,9,15,60.0%,8,23,31,19,6,15,4,2,25,20,74,75,89,0,164,-14
23,@,Hapoel,15,34,44.1%,10,25,40.0%,6,8,75.0%,9,28,37,13,5,15,3,5,23,19,64,66,71,0,137,-5
24,vs,Olympiacos,16,37,43.2%,7,24,29.2%,15,21,71.4%,12,21,33,17,8,8,2,6,23,21,68,68,74,0,142,-6
25,@,Fenerbahce,19,40,47.5%,5,24,20.8%,9,12,75.0%,11,17,28,15,7,10,3,4,16,17,59,62,79,0,141,-17
26,vs,Valencia,29,44,65.9%,10,22,45.5%,19,21,90.5%,7,26,33,26,6,14,4,2,18,18,131,107,90,1,197,17
27,vs,Zalgiris,15,33,45.5%,16,32,50.0%,14,16,87.5%,7,21,28,24,8,11,3,3,18,18,105,92,82,1,174,10
28,vs,Virtus,20,35,57.1%,13,31,41.9%,12,16,75.0%,10,26,36,22,7,6,6,1,21,17,114,91,60,1,151,31
29,@,Crvena Zvezda,19,34,55.9%,10,29,34.5%,13,20,65.0%,8,24,32,16,7,7,5,1,21,18,89,81,91,0,172,-10
30,vs,Asvel,22,32,68.8%,10,23,43.5%,14,19,73.7%,5,22,27,18,6,20,2,0,22,24,95,88,91,0,179,-3
31,@,Bayern Munich,14,31,45.2%,12,27,44.4%,17,19,89.5%,4,24,28,15,9,11,1,0,18,21,92,81,80,1,161,1
32,vs,AS Monaco,19,32,59.4%,11,33,33.3%,22,27,81.5%,13,14,27,15,12,9,2,1,29,25,95,93,98,0,191,-5
33,@,Barcelona,18,31,58.1%,8,26,30.8%,11,14,78.6%,6,18,24,9,7,7,0,0,22,18,66,71,78,0,149,-7
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Average,,,19.1,34.9,55.0%,9.5,26.3,35.9%,13.9,17.8,78.1%,9.2,21.8,31,17.2,6.8,12.7,2.3,2.4,21.2,19.9,84.9,80.5,84.3,10,164.8,-3.8
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
,,,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5 Games,19.4,34,60.0%,10.2,29,30.0%,11.6,14.8,80.0%,11,21,32,18,5.4,13.6,1.4,3.4,19.6,20.2,84.8,81,85.4,,,
,,3 Games,18.7,31.3,60.0%,9,25.3,30.0%,14.7,19,80.0%,11,21.7,32.7,17.7,5.3,14,1.7,3,18.3,21.3,89,79,81.3,,,
