Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,@,Crvena Zvezda,23,36,63.9%,11,24,45.8%,13,18,72.2%,10,22,32,18,8,13,0,0,16,21,111,92,82,1,174,10
2,@,Partizan,13,25,52.0%,13,26,50.0%,13,19,68.4%,4,26,30,19,4,16,4,1,20,22,89,78,80,0,158,-2
3,vs,AS Monaco,19,39,48.7%,9,30,30.0%,14,18,77.8%,12,29,41,17,2,7,3,3,25,21,83,79,82,0,161,-3
4,@,Bayern Munich,16,40,40.0%,3,19,15.8%,12,14,85.7%,14,29,43,10,3,15,2,2,18,20,54,53,64,0,117,-11
5,@,Zalgiris,18,40,45.0%,12,21,57.1%,17,19,89.5%,9,24,33,19,3,9,3,2,15,17,105,89,78,1,167,11
6,vs,Valencia,24,38,63.2%,11,34,32.4%,19,26,73.1%,14,20,34,24,8,4,2,2,20,24,122,100,103,0,203,-3
7,@,Barcelona,23,38,60.5%,7,27,25.9%,5,5,100.0%,9,20,29,15,10,14,1,4,17,16,73,72,74,0,146,-2
8,vs,Paris,17,37,45.9%,10,31,32.3%,22,23,95.7%,14,29,43,23,6,9,4,2,19,20,110,86,77,1,163,9
9,@,Anadolu Efes,16,33,48.5%,15,32,46.9%,20,24,83.3%,11,29,40,20,5,17,1,2,17,22,111,97,93,1,190,4
10,vs,Asvel,17,37,45.9%,12,24,50.0%,10,15,66.7%,13,20,33,24,9,14,0,3,20,22,94,80,72,1,152,8
11,vs ,Olympiacos,21,34,61.8%,13,28,46.4%,7,11,63.6%,11,21,32,20,5,11,1,2,19,16,98,88,87,1,175,1
12,vs,Hapoel,25,43,58.1%,5,24,20.8%,18,20,90.0%,10,17,27,21,6,8,5,2,16,22,99,83,105,0,188,-22
13,@,Maccabi,20,32,62.5%,13,31,41.9%,23,24,95.8%,11,24,35,22,5,10,2,3,19,24,127,102,88,1,190,14
14,@,Baskonia,23,41,56.1%,5,19,26.3%,17,23,73.9%,10,25,35,13,3,17,1,1,18,23,79,78,88,0,166,-10
15,vs,Panathinaikos,12,21,57.1%,17,33,51.5%,21,28,75.0%,9,20,29,20,4,12,3,2,18,23,111,96,89,1,185,7
16,vs,Real Madrid,14,29,48.3%,14,27,51.9%,19,22,86.4%,4,25,29,14,6,11,6,6,23,19,92,89,82,1,171,7
17,vs,Fenerbahce,15,36,41.7%,8,26,30.8%,18,19,94.7%,12,24,36,11,4,13,2,2,15,24,79,72,87,0,159,-15
18,@,Dubai,18,37,48.6%,13,30,43.3%,17,24,70.8%,8,25,33,20,4,6,2,1,23,23,101,92,99,0,191,-7
19,@,Virtus,24,39,61.5%,6,25,24.0%,19,22,86.4%,13,19,32,16,10,16,3,3,22,24,92,85,97,0,182,-12
20,@,Panathinaikos,25,43,58.1%,10,23,43.5%,7,11,63.6%,7,30,37,22,9,13,6,3,21,17,106,87,74,1,161,13
21,vs,Anadolu Efes,16,31,51.6%,13,26,50.0%,16,18,88.9%,9,22,31,18,6,13,0,4,19,20,96,84,74,1,158,10
22,vs,Crvena Zvezda,21,31,67.7%,13,31,41.9%,15,21,71.4%,11,19,30,22,6,12,2,4,23,22,105,96,104,0,200,-8
23,@,Real Madrid,15,28,53.6%,9,28,32.1%,20,29,69.0%,8,12,20,12,6,11,0,2,22,22,61,77,106,0,183,-29
24,vs,Zalgiris,23,34,67.6%,7,20,35.0%,15,17,88.2%,10,24,34,16,4,17,2,0,24,21,92,82,86,0,168,-4
25,vs,Partizan,23,38,60.5%,8,22,36.4%,15,21,71.4%,9,24,33,18,2,8,2,3,21,24,97,85,79,1,164,6
26,vs,Baskonia,23,37,62.2%,14,24,58.3%,21,24,87.5%,9,23,32,24,3,8,2,1,18,26,142,109,89,1,198,20
27,@,Asvel,20,30,66.7%,7,19,36.8%,16,21,76.2%,6,29,35,17,0,17,2,1,23,20,83,77,76,1,153,1
28,vs,Dubai,20,37,54.1%,11,26,42.3%,5,8,62.5%,5,20,25,20,2,4,1,2,22,18,81,78,96,0,174,-18
29,@,Hapoel,20,39,51.3%,9,29,31.0%,19,27,70.4%,15,21,36,25,4,10,2,4,18,23,97,86,92,0,178,-6
30,vs,Barcelona,20,34,58.8%,9,18,50.0%,20,26,76.9%,7,26,33,19,6,19,2,2,17,24,104,87,84,1,171,3
31,vs,Maccabi,21,40,52.5%,9,23,39.1%,27,30,90.0%,12,23,35,20,8,12,2,2,21,26,116,96,87,1,183,9
32,@,Fenerbahce,18,37,48.6%,8,29,27.6%,15,16,93.8%,13,22,35,14,7,10,1,3,17,17,78,75,79,0,154,-4
33,@,AS Monaco,26,50,52.0%,9,22,40.9%,6,8,75.0%,14,27,41,15,0,9,1,2,22,17,87,85,90,0,175,-5
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Average,,,19.7,35.9,55.0%,10.1,25.8,39.0%,15.8,19.7,79.8%,10.1,23.3,33.4,18.4,5.1,11.7,2.1,2.3,19.6,21.2,96.2,85.3,86.2,16,171.5,-0.8
