Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,vs,Valencia,20,39,51.3%,8,26,30.8%,13,16,81.3%,9,26,35,13,5,12,1,3,22,21,75,77,80,0,157,-3
2,vs,Baskonia,22,42,52.4%,14,30,46.7%,16,24,66.7%,16,19,35,22,11,13,3,1,21,20,114,102,95,1,197,7
3,@,Real Madrid,16,36,44.4%,10,34,29.4%,10,10,100.0%,17,22,39,11,5,14,2,3,23,17,62,72,85,0,157,-13
4,@,Panathinaikos,13,26,50.0%,15,32,46.9%,14,20,70.0%,4,20,24,22,4,7,1,2,21,20,90,85,91,0,176,-6
5,vs,Virtus,21,31,67.7%,7,29,24.1%,20,22,90.9%,13,15,28,16,6,14,4,1,22,24,90,83,90,0,173,-7
6,vs,Dubai,14,37,37.8%,13,34,38.2%,18,23,78.3%,15,20,35,19,8,11,6,6,22,22,87,85,79,1,164,6
7,@,Crvena Zvezda,16,27,59.3%,7,31,22.6%,12,16,75.0%,8,22,30,18,10,16,4,0,20,21,73,65,79,0,144,-14
8,@,Zalgiris,16,41,39.0%,6,29,20.7%,9,12,75.0%,16,13,29,15,9,10,0,2,25,16,40,59,96,0,155,-37
9,@,Fenerbahce,17,34,50.0%,6,20,30.0%,15,20,75.0%,7,25,32,14,2,10,3,2,20,23,73,67,81,0,148,-14
10,@,Armani Milan,13,32,40.6%,9,25,36.0%,19,22,86.4%,14,21,35,12,9,17,3,0,22,20,74,72,80,0,152,-8
11,vs,Partizan,23,39,59.0%,8,21,38.1%,18,26,69.2%,10,18,28,15,10,12,5,5,17,23,98,88,87,1,175,1
12,vs,AS Monaco,13,36,36.1%,2,25,8.0%,20,22,90.9%,22,23,45,9,8,23,1,1,23,22,42,52,84,0,136,-32
13,@,Barcelona,20,36,55.6%,4,18,22.2%,26,33,78.8%,12,19,31,14,8,17,3,1,29,22,72,78,88,0,166,-10
14,@,Hapoel,20,40,50.0%,9,26,34.6%,13,13,100.0%,7,31,38,20,5,16,6,0,23,15,88,80,87,0,167,-7
15,@,Maccabi,23,46,50.0%,10,29,34.5%,8,11,72.7%,10,23,33,17,6,8,2,5,24,18,78,84,92,0,176,-8
16,vs,Bayern Munich,20,36,55.6%,9,24,37.5%,9,17,52.9%,8,26,34,18,9,16,5,2,18,19,86,76,74,1,150,2
17,@,Olympiacos,25,39,64.1%,9,24,37.5%,7,9,77.8%,10,20,30,20,5,16,5,4,25,14,82,84,107,0,191,-23
18,vs,Anadolu Efes (OT),32,49,65.3%,7,25,28.0%,18,26,69.2%,10,26,36,21,8,12,3,3,24,28,117,103,99,1,202,4
19,vs,Paris,22,45,48.9%,11,31,35.5%,17,26,65.4%,23,27,50,22,6,16,2,2,27,26,103,94,89,1,183,5
20,vs,Real Madrid,17,37,45.9%,9,29,31.0%,8,12,66.7%,12,19,31,14,5,12,5,2,25,15,56,69,80,0,149,-11
21,@,Baskonia,23,44,52.3%,5,21,23.8%,12,18,66.7%,14,21,35,16,6,12,3,3,20,19,74,73,78,0,151,-5
22,vs,Hapoel,18,30,60.0%,10,33,30.3%,7,10,70.0%,10,19,29,18,7,19,1,2,26,17,60,73,81,0,154,-8
23,vs,Zalgiris,20,39,51.3%,8,22,36.4%,13,19,68.4%,10,17,27,14,6,14,2,4,24,19,64,77,96,0,173,-19
24,vs,Barcelona,22,34,64.7%,10,27,37.0%,17,23,73.9%,7,16,23,16,10,11,0,1,20,23,96,91,98,0,189,-7
25,vs,Panathinaikos,12,32,37.5%,12,30,40.0%,18,24,75.0%,12,25,37,22,5,14,1,4,25,20,76,78,79,0,157,-1
26,@,Virtus,22,36,61.1%,7,29,24.1%,15,22,68.2%,17,25,42,17,10,14,2,1,21,20,92,80,70,1,150,10
27,vs,Armani Milan,17,40,42.5%,8,31,25.8%,18,21,85.7%,15,17,32,10,7,3,1,2,20,23,75,76,77,0,153,-1
28,@,Valencia,13,27,48.1%,13,33,39.4%,2,3,66.7%,10,27,37,19,3,16,1,3,23,17,67,67,82,0,149,-15
29,@,Dubai,16,44,36.4%,11,26,42.3%,20,26,76.9%,16,27,43,15,3,10,1,7,20,24,85,85,96,0,181,-11
30,@,Anadolu Efes,17,29,58.6%,12,33,36.4%,21,24,87.5%,11,20,31,19,7,15,0,2,24,22,93,91,88,1,179,3
