Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,@,Hapoel,22,38,57.9%,10,25,40.0%,13,17,76.5%,14,18,32,18,9,15,1,5,16,19,95,87,103,0,190,-16
2,@,Panathinaikos,18,33,54.5%,16,34,47.1%,19,25,76.0%,17,21,38,23,4,17,1,1,29,23,106,103,96,1,199,7
3,vs,Valencia,28,43,65.1%,11,23,47.8%,19,23,82.6%,9,19,28,24,8,13,1,4,18,23,123,108,102,1,210,6
4,@,Maccabi,23,35,65.7%,10,31,32.3%,16,19,84.2%,14,26,40,20,7,12,1,1,25,20,106,92,71,1,163,21
5,@,Dubai,16,43,37.2%,10,27,37.0%,16,24,66.7%,13,26,39,18,5,9,2,5,23,22,75,78,83,0,161,-5
6,vs,Zalgiris,18,41,43.9%,7,22,31.8%,16,20,80.0%,15,24,39,14,6,13,2,3,17,21,80,73,88,0,161,-15
7,vs,Armani Milan,21,38,55.3%,8,20,40.0%,8,10,80.0%,9,25,34,11,7,18,4,1,16,17,81,74,72,1,146,2
8,@,Partizan,11,20,55.0%,13,32,40.6%,17,27,63.0%,6,24,30,18,9,13,0,2,19,24,87,78,76,1,154,2
9,vs,Real Madrid,20,38,52.6%,14,27,51.9%,10,13,76.9%,7,14,21,23,6,8,0,2,22,21,97,92,101,0,193,-9
10,@,Bayern Munich,21,39,53.8%,8,17,47.1%,9,12,75.0%,6,21,27,16,8,14,2,1,18,18,83,75,74,1,149,1
11,vs,Virtus,19,39,48.7%,14,33,42.4%,8,11,72.7%,14,19,33,20,8,9,3,0,20,17,98,88,81,1,169,7
12,@,Anadolu Efes,21,38,55.3%,7,32,21.9%,10,11,90.9%,16,16,32,19,10,8,4,1,24,19,81,73,74,0,147,-1
13,vs,Asvel,24,48,50.0%,7,21,33.3%,19,24,79.2%,19,21,40,21,10,11,1,3,23,28,108,88,78,1,166,10
14,@,Crvena Zvezda,23,39,59.0%,10,29,34.5%,13,14,92.9%,12,23,35,20,11,16,3,1,26,17,96,89,79,1,168,10
15,vs,Olympiacos,21,44,47.7%,13,26,50.0%,17,21,81.0%,19,19,38,17,9,9,3,3,24,19,108,98,85,1,183,13
16,@,Paris,24,40,60.0%,7,24,29.2%,16,18,88.9%,11,29,40,18,4,13,2,4,19,22,100,85,69,1,154,16
17,vs,Baskonia (OT),33,61,54.1%,12,28,42.9%,32,38,84.2%,15,29,44,18,8,11,3,3,22,31,152,97,97,1,194,0
18,@,Fenerbahce,17,36,47.2%,11,31,35.5%,4,4,100.0%,10,22,32,17,9,10,2,3,18,15,76,71,72,0,143,-1
19,vs,AS Monaco,23,37,62.2%,6,27,22.2%,10,12,83.3%,9,22,31,14,4,10,0,4,20,20,72,74,90,0,164,-16
20,vs,Maccabi,16,24,66.7%,15,30,50.0%,16,17,94.1%,5,21,26,20,3,18,3,0,22,21,108,93,83,1,176,10
21,vs,Partizan,29,44,65.9%,6,21,28.6%,12,18,66.7%,11,24,35,21,11,7,1,3,14,22,118,88,70,1,158,18
22,@,Real Madrid,17,33,51.5%,4,18,22.2%,15,23,65.2%,8,20,28,9,7,15,1,5,22,19,45,61,80,0,141,-19
23,vs,Dubai,27,42,64.3%,9,22,40.9%,10,11,90.9%,10,19,29,22,9,10,0,1,18,17,110,91,89,1,180,2
24,@,Asvel,22,32,68.8%,12,19,63.2%,18,23,78.3%,4,23,27,20,7,17,1,0,23,20,111,98,91,1,189,7
25,@,Olympiacos,16,34,47.1%,9,20,45.0%,16,21,76.2%,7,23,30,19,6,20,1,3,21,21,74,87,75,1,162,12
26,vs,Fenerbahce,20,42,47.6%,9,30,30.0%,11,16,68.8%,15,18,33,14,4,6,1,4,23,24,73,78,82,0,160,-4
27,@,Baskonia,20,36,55.6%,12,24,50.0%,21,24,87.5%,7,25,32,24,3,10,1,2,23,25,116,97,91,1,188,6
28,vs,Paris,22,37,59.5%,5,32,15.6%,15,19,78.9%,16,23,39,15,10,13,4,2,20,21,82,74,85,0,159,-11
29,@,Virtus,20,36,55.6%,10,26,38.5%,10,11,90.9%,14,20,34,21,4,16,4,0,18,16,92,80,85,0,165,-5
30,@,Armani Milan,27,47,57.4%,8,26,30.8%,6,7,85.7%,10,17,27,21,12,12,2,2,24,17,86,84,87,0,171,-3
31,vs,Hapoel,27,48,56.3%,4,21,19.0%,9,11,81.8%,10,21,31,11,7,8,3,3,22,17,71,75,80,0,155,-5
32,@,Valencia,19,38,50.0%,7,25,28.0%,7,12,58.3%,17,22,39,16,7,12,0,3,18,19,72,66,62,1,128,4
33,vs,Anadolu Efes,17,30,56.7%,8,21,38.1%,20,24,83.3%,7,27,34,13,3,14,0,0,18,21,87,78,71,1,149,7
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Average,,,21.3,38.6,55.4%,9.5,25.6,37.2%,13.9,17.6,80.0%,11.4,21.8,33.2,18,7.1,12.3,1.7,2.3,20.8,20.5,93,84,82.5,20,166.5,1.5
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
,,,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,,
