Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,vs,Olympiacos,19,31,61.3%,15,41,36.6%,13,16,81.3%,15,19,34,24,7,14,3,0,23,16,102,96,102,0,198,-6
2,@,Asvel,20,31,64.5%,14,32,43.8%,13,18,72.2%,10,24,34,24,8,16,1,3,21,20,108,95,102,0,197,-7
3,vs,Panathinaikos,24,45,53.3%,7,26,26.9%,15,21,71.4%,10,30,40,16,10,16,4,4,22,23,89,84,86,0,170,-2
4,@,Paris,18,30,60.0%,8,35,22.9%,27,32,84.4%,14,23,37,22,4,16,4,5,18,28,99,87,105,0,192,-18
5,vs,Partizan,20,32,62.5%,9,28,32.1%,12,13,92.3%,8,21,29,18,4,12,7,2,20,16,87,79,91,0,170,-12
6,@,Crvena Zvezda,21,42,50.0%,8,30,26.7%,6,12,50.0%,14,27,41,17,7,13,4,4,26,18,67,72,90,0,162,-18
7,vs,Dubai,20,35,57.1%,10,25,40.0%,22,32,68.8%,11,27,38,18,5,11,0,1,24,25,102,92,85,1,177,7
8,vs,Anadolu Efes,25,37,67.6%,7,20,35.0%,15,22,68.2%,9,26,35,20,5,14,7,0,21,21,107,86,75,1,161,11
9,vs,Virtus,20,32,62.5%,11,27,40.7%,14,16,87.5%,8,22,30,25,4,11,2,3,23,19,100,87,76,1,163,11
10,@,Hapoel,30,40,75.0%,5,18,27.8%,14,18,77.8%,6,13,19,22,6,12,4,1,23,19,96,89,114,0,203,-25
11,@,Maccabi,23,38,60.5%,8,29,27.6%,13,16,81.3%,11,24,35,18,5,9,2,3,24,14,82,83,89,0,172,-6
12,vs,Bayern Munich,23,30,76.7%,12,29,41.4%,13,15,86.7%,3,30,33,22,4,14,2,1,21,21,115,95,73,1,168,22
13,@,Zalgiris,20,37,54.1%,6,21,28.6%,9,13,69.2%,8,26,34,15,8,16,4,3,21,17,69,67,82,0,149,-15
14,vs,Armani Milan,22,34,64.7%,11,37,29.7%,11,16,68.8%,11,25,36,19,10,12,1,1,23,18,93,88,78,1,166,10
15,@,Real Madrid,21,35,60.0%,12,31,38.7%,9,15,60.0%,8,21,29,20,3,9,2,6,25,21,83,87,94,0,181,-7
16,vs,AS Monaco,15,32,46.9%,12,25,48.0%,19,27,70.4%,8,32,40,18,6,15,6,4,25,24,97,85,73,1,158,12
17,@,Barcelona (OT),29,53,54.7%,15,31,48.4%,21,24,87.5%,11,30,41,23,4,16,3,3,32,22,123,97,97,0,194,0
18,@,Valencia,21,35,60.0%,7,26,26.9%,18,20,90.0%,10,23,33,16,7,22,4,1,20,23,86,81,91,0,172,-10
