Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,@,Panathinaikos,20,37,54.1%,8,28,28.6%,15,21,71.4%,18,20,38,23,3,13,2,3,27,20,79,79,87,0,166,-8
2,vs,Crvena Zvezda,24,34,70.6%,14,32,43.8%,7,11,63.6%,11,16,27,20,9,9,1,1,27,18,103,97,88,1,185,9
3,vs,Zalgiris,20,37,54.1%,6,17,35.3%,12,14,85.7%,8,17,25,11,5,13,0,3,24,22,63,70,98,0,168,-28
4,vs,Armani Milan,16,33,48.5%,6,25,24.0%,14,17,82.4%,8,26,34,14,8,9,2,2,20,18,70,64,53,1,117,11
5,@,Fenerbahce,22,41,53.7%,5,21,23.8%,14,20,70.0%,9,17,26,19,11,11,1,2,23,24,77,73,88,0,161,-15
6,vs,Olympiacos,15,29,51.7%,11,34,32.4%,8,11,72.7%,10,23,33,17,7,18,0,3,18,17,66,71,96,0,167,-25
7,vs,Real Madrid,24,36,66.7%,9,34,26.5%,15,18,83.3%,11,28,39,20,9,7,3,3,25,22,108,90,84,1,174,6
8,vs,Virtus,13,27,48.1%,12,30,40.0%,24,28,85.7%,10,25,35,21,13,15,3,1,18,26,114,86,70,1,156,16
9,@,Paris,13,29,44.8%,16,36,44.4%,12,16,75.0%,13,29,42,17,4,18,4,2,28,20,85,86,82,1,168,4
10,vs,Barcelona,20,39,51.3%,9,24,37.5%,7,10,70.0%,13,22,35,14,8,14,1,2,18,18,79,74,75,0,149,-1
11,@,Anadolu Efes,17,29,58.6%,9,32,28.1%,11,13,84.6%,8,21,29,15,6,13,2,2,22,20,70,72,74,0,146,-2
12,@,Baskonia,16,32,50.0%,8,29,27.6%,17,18,94.4%,6,22,28,14,5,14,1,2,21,21,67,73,95,0,168,-22
13,@,Valencia,17,35,48.6%,6,34,17.6%,12,16,75.0%,15,26,41,16,8,13,4,3,24,15,58,64,90,0,154,-26
14,@,Partizan,14,27,51.9%,13,32,40.6%,18,19,94.7%,7,32,39,16,3,17,3,2,24,18,88,85,92,0,177,-7
15,@,Dubai,18,34,52.9%,12,28,42.9%,16,22,72.7%,11,19,30,22,5,15,5,5,24,19,87,88,89,0,177,-1
16,@,Asvel,17,38,44.7%,10,22,45.5%,10,11,90.9%,7,25,32,20,8,16,2,5,20,18,79,74,76,0,150,-2
17,@,AS Monaco,22,42,52.4%,9,29,31.0%,6,8,75.0%,11,14,25,13,5,13,1,5,26,16,51,77,103,0,180,-26
18,vs,Hapoel,21,38,55.3%,7,23,30.4%,9,16,56.3%,11,20,31,16,7,14,3,2,19,21,75,72,82,0,154,-10
19,vs,Maccabi,26,39,66.7%,8,25,32.0%,19,24,79.2%,10,25,35,25,8,10,1,2,27,19,109,95,71,1,166,24
20,vs,Baskonia,19,30,63.3%,13,21,61.9%,19,22,86.4%,6,22,28,18,5,18,1,1,21,20,106,96,89,1,185,7
21,@,Olympiacos,19,30,63.3%,11,26,42.3%,9,10,90.0%,4,19,23,18,10,21,1,0,21,16,79,80,95,0,175,-15
22,vs,Panathinaikos,23,38,60.5%,11,24,45.8%,6,7,85.7%,10,22,32,21,7,11,1,0,19,16,103,85,78,1,163,7
23,vs,Partizan,20,38,52.6%,7,27,25.9%,2,4,50.0%,9,22,31,16,8,13,3,2,17,17,66,63,67,0,130,-4
24,vs,Valencia,19,33,57.6%,9,27,33.3%,28,33,84.8%,7,31,38,24,6,12,3,2,21,27,119,93,89,1,182,4
25,@,Hapoel,26,38,68.4%,7,23,30.4%,6,9,66.7%,8,26,34,16,8,13,4,1,19,16,93,79,64,1,143,15
26,vs,Paris,18,36,50.0%,11,38,28.9%,12,15,80.0%,19,28,47,25,8,18,3,3,23,20,92,81,75,1,156,6
27,vs,AS Monaco,18,35,51.4%,15,33,45.5%,10,12,83.3%,12,21,33,21,6,8,1,4,22,19,100,91,82,1,173,9
28,@,Maccabi (OT),24,47,51.1%,15,30,50.0%,13,20,65.0%,13,21,34,28,8,14,1,3,20,22,117,106,111,0,217,-5
29,@,Real Madrid,22,48,45.8%,6,21,28.6%,8,8,100.0%,13,18,31,15,8,11,2,5,21,15,63,70,93,0,163,-23
30,@,Crvena Zvezda,21,32,65.6%,10,28,35.7%,13,19,68.4%,9,27,36,17,1,12,2,2,23,17,86,85,80,1,165,5
31,vs,Anadolu Efes,18,30,60.0%,10,27,37.0%,14,16,87.5%,4,28,32,18,6,14,0,1,21,18,87,80,81,0,161,-1
32,vs,Dubai,22,45,48.9%,7,21,33.3%,9,10,90.0%,10,23,33,17,8,10,2,3,17,17,83,74,87,0,161,-13
33,@,Zalgiris,24,42,57.1%,6,22,27.3%,5,7,71.4%,15,22,37,12,6,17,1,2,20,16,68,71,78,0,149,-7
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Average,,,19.6,35.7,55.2%,9.6,27.4,35.1%,12.1,15.3,78.5%,10.2,22.9,33.1,18.2,6.9,13.5,1.9,2.4,21.8,19,84.5,80.1,83.7,13,163.8,-3.6
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
,,,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Olympiacos,19,30,63.3%,11,26,42.3%,9,10,90.0%,4,19,23,18,10,21,1,0,21,16,79,80,95,0,,
,,Panathinaikos,23,38,60.5%,11,24,45.8%,6,7,85.7%,10,22,32,21,7,11,1,0,19,16,103,85,78,1,,
,,Partizan,20,38,52.6%,7,27,25.9%,2,4,50.0%,9,22,31,16,8,13,3,2,17,17,66,63,67,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20.7,35.3,58.8%,9.7,25.7,38.0%,5.7,7,75.2%,7.7,21,28.7,18.3,8.3,15,1.7,0.7,19,16.3,82.7,76,80,0.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Valencia,19,33,57.6%,9,27,33.3%,28,33,84.8%,7,31,38,24,6,12,3,2,21,27,119,93,89,1,,
