Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,vs,Armani Milan,28,46,60.9%,6,19,31.6%,8,13,61.5%,10,20,30,19,8,10,0,0,21,16,88,82,92,0,174,-10
2,@,Bayern Munich,17,29,58.6%,10,25,40.0%,24,30,80.0%,11,18,29,14,2,15,1,1,19,26,92,88,97,0,185,-9
3,@,Fenerbahce,23,42,54.8%,6,20,30.0%,22,33,66.7%,13,29,42,19,6,17,3,2,28,26,91,86,81,1,167,5
4,vs,Zalgiris,30,51,58.8%,2,10,20.0%,22,31,71.0%,13,27,40,17,10,16,5,1,23,26,108,88,79,1,167,9
5,vs ,Real Madrid,23,44,52.3%,10,20,50.0%,14,20,70.0%,12,28,40,19,6,15,4,2,23,25,107,90,75,1,165,15
6,vs ,Baskonia,19,39,48.7%,10,25,40.0%,22,27,81.5%,10,30,40,19,7,11,4,4,18,26,113,90,72,1,162,18
7,vs,Asvel,21,34,61.8%,8,26,30.8%,13,18,72.2%,9,28,37,22,9,17,0,4,21,20,89,79,65,1,144,14
8,@,Maccabi,25,46,54.3%,8,27,29.6%,25,35,71.4%,24,26,50,21,5,14,3,3,31,27,107,99,92,1,191,7
9,vs,Panathinaikos,30,43,69.8%,3,22,13.6%,17,21,81.0%,13,31,44,21,5,17,5,1,22,22,107,86,68,1,154,18
10,@,Dubai,20,39,51.3%,10,21,47.6%,16,20,80.0%,11,15,26,20,3,11,1,0,25,25,91,86,102,0,188,-16
11,vs,AS Monaco,20,42,47.6%,12,18,66.7%,15,27,55.6%,11,22,33,20,7,11,1,5,20,24,100,91,79,1,170,12
12,@,Valencia,15,36,41.7%,10,26,38.5%,13,15,86.7%,14,30,44,16,7,19,2,5,18,20,81,73,76,0,149,-3
13,vs,Olympiacos,17,31,54.8%,15,35,42.9%,12,15,80.0%,13,22,35,20,12,11,0,2,19,16,105,91,80,1,171,11
14,vs,Barcelona,22,41,53.7%,4,24,16.7%,23,30,76.7%,17,21,38,14,5,14,1,3,18,26,82,79,89,0,168,-10
15,@,Partizan,15,26,57.7%,11,36,30.6%,13,19,68.4%,11,24,35,18,5,14,3,0,21,19,79,76,79,0,155,-3
16,@,Hapoel,21,40,52.5%,7,24,29.2%,15,18,83.3%,12,24,36,11,6,13,1,7,23,19,69,78,84,0,162,-6
17,vs,Virtus,25,38,65.8%,9,30,30.0%,13,23,56.5%,13,20,33,18,7,10,2,2,20,22,96,90,89,1,179,1
18,@,Paris,17,28,60.7%,15,35,42.9%,13,18,72.2%,10,25,35,23,7,19,0,6,20,18,94,92,102,0,194,-10
19,@,Anadolu Efes,25,34,73.5%,9,23,39.1%,10,11,90.9%,6,30,36,28,8,23,2,1,16,18,115,87,65,1,152,22
20,vs,Valencia,20,38,52.6%,11,31,35.5%,16,20,80.0%,10,25,35,21,4,13,0,3,19,20,92,89,106,0,195,-17
21,@,Zalgiris,20,37,54.1%,4,26,15.4%,15,18,83.3%,15,21,36,19,6,16,1,4,16,21,72,67,99,0,166,-32
22,@,Armani Milan,27,46,58.7%,9,25,36.0%,23,28,82.1%,17,19,36,16,9,9,4,2,22,23,119,104,96,1,200,8
23,@, AS Monaco (OT),28,45,62.2%,9,25,36.0%,17,24,70.8%,15,35,50,29,5,18,3,3,24,21,123,100,96,1,196,4
24,@,Virtus,22,35,62.9%,16,35,45.7%,10,14,71.4%,14,23,37,31,4,14,1,1,23,14,115,102,93,1,195,9
25,vs,Dubai,25,41,61.0%,10,27,37.0%,15,21,71.4%,14,26,40,21,1,11,2,3,22,24,108,95,92,1,187,3
26,vs,Hapoel,23,44,52.3%,10,24,41.7%,11,16,68.8%,20,27,47,20,7,15,2,4,21,22,105,87,75,1,162,12
27,vs,Maccabi,20,40,50.0%,11,31,35.5%,9,11,81.8%,16,24,40,24,9,18,3,3,19,17,93,82,83,0,165,-1
28,@,Olympiacos,25,42,59.5%,8,26,30.8%,12,19,63.2%,15,23,38,18,5,13,1,1,23,20,89,86,92,0,178,-6
29,vs,Anadolu Efes,21,41,51.2%,12,24,50.0%,13,23,56.5%,13,28,41,20,4,9,1,5,18,21,104,91,81,1,172,10
30,vs,Bayern Munich,21,36,58.3%,6,30,20.0%,20,24,83.3%,15,23,38,19,2,8,2,2,17,23,94,80,85,0,165,-5
31,vs,Fenerbahce,22,43,51.2%,5,21,23.8%,20,27,74.1%,15,29,44,18,5,12,2,4,19,27,96,79,73,1,152,6
32,@,Panathinaikos,21,39,53.8%,7,27,25.9%,11,15,73.3%,12,24,36,22,8,12,4,2,19,16,85,74,82,0,156,-8
33,@,Baskonia (OT),26,51,51.0%,11,25,44.0%,23,28,82.1%,41,27,68,22,6,13,2,5,28,25,114,108,100,1,208,8
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Average,,,22.2,39.6,56.3%,8.9,25.5,34.8%,15.9,21.6,74.2%,14.1,25,39.1,20,6.1,13.9,2,2.8,21.1,21.7,97.7,87.1,85.4,19,172.5,1.7
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
,,,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,,
