Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,vs,Partizan,23,45,51.1%,11,20,55.0%,10,12,83.3%,10,22,32,21,5,8,0,2,19,16,101,89,76,1,165,13
2,@,AS Monaco,22,34,64.7%,5,24,20.8%,22,23,95.7%,10,19,29,13,5,16,2,3,25,24,78,81,103,0,184,-22
3,@,Olympiacos,19,39,48.7%,4,24,16.7%,17,22,77.3%,9,19,28,17,6,8,0,7,24,20,54,67,86,0,153,-19
4,@,Fenerbahce,18,33,54.5%,10,25,40.0%,27,31,87.1%,12,21,33,16,10,9,1,3,20,24,111,93,69,1,162,24
5,vs,Barcelona,20,37,54.1%,7,25,28.0%,22,28,78.6%,12,34,46,16,3,12,5,2,22,22,98,83,78,1,161,5
6,@,Asvel,22,41,53.7%,4,16,25.0%,23,28,82.1%,12,28,40,22,8,16,6,6,22,22,97,79,85,0,164,-6
7,@,Baskonia,17,36,47.2%,12,30,40.0%,15,18,83.3%,9,25,34,15,3,10,1,0,26,24,86,85,92,0,177,-7
8,@,Valencia,21,44,47.7%,9,26,34.6%,9,11,81.8%,12,22,34,14,9,16,3,2,18,18,81,78,80,0,158,-2
9,vs,Hapoel,22,38,57.9%,7,23,30.4%,32,40,80.0%,8,20,28,16,4,6,2,4,26,27,98,97,109,0,206,-12
10,vs ,Crvena Zvezda,24,39,61.5%,11,27,40.7%,21,26,80.8%,15,20,35,24,5,9,0,1,25,25,120,102,86,1,188,16
11,vs,Zalgiris,30,50,60.0%,7,19,36.8%,14,20,70.0%,12,25,37,21,6,9,1,1,22,21,111,95,89,1,184,6
12,@,Panathinaikos,25,42,59.5%,4,23,17.4%,20,23,87.0%,11,17,28,20,6,10,0,4,18,18,83,82,103,0,185,-21
13,vs,Paris,15,29,51.7%,10,29,34.5%,30,38,78.9%,11,27,38,21,5,14,4,2,27,30,104,90,89,1,179,1
14,@,Virtus,18,33,54.5%,9,28,32.1%,15,21,71.4%,12,27,39,18,6,13,3,2,20,21,90,78,79,0,157,-1
15,vs,Bayern Munich,25,41,61.0%,6,23,26.1%,21,23,91.3%,14,24,38,18,9,13,5,5,20,24,110,89,88,1,177,1
16,vs,Maccabi,22,33,66.7%,10,28,35.7%,21,26,80.8%,4,24,28,22,6,7,5,0,19,21,117,95,97,0,192,-2
17,@,Anadolu Efes,25,46,54.3%,3,17,17.6%,21,26,80.8%,12,25,37,22,6,8,3,2,20,22,100,80,76,1,156,4
18,vs,Armani Milan,25,43,58.1%,8,23,34.8%,25,31,80.6%,9,30,39,15,5,6,1,2,25,23,112,99,92,1,191,7
19,@,Real Madrid,20,40,50.0%,10,21,47.6%,23,24,95.8%,8,15,23,17,4,9,3,7,24,18,86,93,107,0,200,-14
20,@,Hapoel,19,44,43.2%,4,19,21.1%,10,17,58.8%,12,19,31,14,6,14,6,0,22,17,51,60,85,0,145,-25
21,vs,Fenerbahce,25,41,61.0%,5,18,27.8%,27,31,87.1%,14,28,42,15,1,8,2,1,21,29,118,92,81,1,173,11
22,vs,Virtus,14,31,45.2%,11,33,33.3%,11,14,78.6%,9,24,33,15,3,10,7,2,22,17,71,72,80,0,152,-8
23,@,Barcelona,26,37,70.3%,9,23,39.1%,10,12,83.3%,5,18,23,21,8,10,1,0,18,17,104,89,91,0,180,-2
24,@,Paris,19,36,52.8%,14,28,50.0%,19,20,95.0%,11,31,42,26,8,16,3,5,22,18,121,99,79,1,178,20
25,@,Crvena Zvezda,22,41,53.7%,9,24,37.5%,21,27,77.8%,12,21,33,19,8,10,3,2,24,21,100,92,95,0,187,-3
26,vs,Olympiacos,28,49,57.1%,9,24,37.5%,25,27,92.6%,10,31,41,24,8,12,1,1,29,21,123,108,98,1,206,10
27,vs,Real Madrid,23,46,50.0%,8,24,33.3%,23,27,85.2%,11,24,35,17,6,6,3,2,23,23,103,93,85,1,178,8
28,@,Armani Milan,23,41,56.1%,11,22,50.0%,17,23,73.9%,11,28,39,22,3,5,2,1,18,22,125,96,78,1,174,18
29,vs,Asvel,34,49,69.4%,5,19,26.3%,13,17,76.5%,6,29,35,22,5,7,7,1,24,20,120,96,85,1,181,11
30,vs,Baskonia,30,57,52.6%,5,16,31.3%,25,38,65.8%,16,28,44,17,9,11,4,0,26,22,108,100,94,1,194,6
31,@,Partizan,18,31,58.1%,6,20,30.0%,20,25,80.0%,6,24,30,15,6,16,4,3,20,21,79,74,88,0,162,-14
32,@,Bayern Munich,19,32,59.4%,12,28,42.9%,13,14,92.9%,5,27,32,23,7,11,3,2,17,17,109,87,74,1,161,13
33,vs,Panathinaikos,20,36,55.6%,13,22,59.1%,25,28,89.3%,8,19,27,22,3,13,3,1,26,23,114,104,107,0,211,-3
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
Average,,,22.2,39.8,55.8%,8.1,23.4,34.3%,19.6,24,81.9%,10.2,24.1,34.3,18.8,5.8,10.5,2.8,2.3,22.2,21.5,99.5,88.4,88,17,176.4,0.4
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
,,,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,,
