Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,vs,Paris,18,27,66.7%,15,35,42.9%,15,21,71.4%,5,30,35,25,7,16,4,1,24,21,112,96,77,1,173,19
2,@,Zalgiris,28,46,60.9%,6,23,26.1%,7,10,70.0%,11,23,34,12,4,10,3,5,22,19,78,81,84,0,165,-3
3,vs,Crvena Zvezda,11,28,39.3%,9,27,33.3%,32,44,72.7%,10,25,35,21,5,15,2,3,26,28,81,81,86,0,167,-5
4,vs,Dubai,20,34,58.8%,5,23,21.7%,14,15,93.3%,9,19,28,10,5,15,3,1,27,20,59,69,93,0,162,-24
5,vs ,Bayern Munich,17,26,65.4%,13,27,48.1%,15,18,83.3%,6,27,33,20,7,16,2,1,24,23,106,88,73,1,161,15
6,@,Anadolu Efes,18,31,58.1%,10,24,41.7%,13,18,72.2%,10,25,35,19,7,18,2,1,26,20,85,79,69,1,148,10
7,@,Valencia,19,39,48.7%,10,28,35.7%,11,16,68.8%,12,23,35,14,6,15,3,3,22,20,74,79,94,0,173,-15
8,@,Real Madrid,15,41,36.6%,6,28,21.4%,10,13,76.9%,16,21,37,11,8,11,3,9,22,19,43,58,84,0,142,-26
9,vs,Asvel,18,44,40.9%,11,26,42.3%,12,15,80.0%,18,24,42,19,3,5,2,3,23,20,92,81,67,1,148,14
10,vs,Maccabi,17,27,63.0%,10,31,32.3%,20,22,90.9%,12,29,41,17,4,17,1,1,29,22,89,84,75,1,159,9
11,vs,Hapoel,21,44,47.7%,7,19,36.8%,11,15,73.3%,16,23,39,13,4,12,5,2,23,15,74,74,68,1,142,6
12,@,Partizan,17,33,51.5%,15,29,51.7%,20,24,83.3%,8,23,31,22,4,12,0,3,27,25,105,99,87,1,186,12
13,vs,Virtus,13,36,36.1%,9,29,31.0%,13,13,100.0%,12,25,37,16,6,10,3,2,19,22,76,66,64,1,130,2
14,@,AS Monaco,28,46,60.9%,7,30,23.3%,15,24,62.5%,22,30,52,15,6,16,2,0,27,22,96,92,86,1,178,6
15,vs,Panathinaikos,18,31,58.1%,8,23,34.8%,17,20,85.0%,11,24,35,14,6,22,1,1,21,17,75,77,81,0,158,-4
16,@,Armani Milan,21,41,51.2%,12,24,50.0%,9,10,90.0%,8,28,36,18,6,11,2,2,24,15,94,87,72,1,159,15
17,vs,Barcelona,18,37,48.6%,6,18,33.3%,18,24,75.0%,12,27,39,12,6,15,3,2,16,18,80,72,71,1,143,1
18,@,Baskonia,25,46,54.3%,13,26,50.0%,19,22,86.4%,12,27,39,16,4,4,3,1,28,21,121,108,93,1,201,15
19,vs,Olympiacos,26,39,66.7%,10,31,32.3%,6,9,66.7%,14,23,37,17,5,8,3,1,22,17,99,88,80,1,168,8
20,@,Dubai,20,36,55.6%,9,25,36.0%,14,18,77.8%,4,17,21,13,2,5,1,2,29,19,65,81,92,0,173,-11
21,vs,Valencia,22,35,62.9%,7,21,33.3%,17,18,94.4%,10,24,34,17,3,17,4,1,19,19,94,82,79,1,161,3
22,@,Virtus,14,27,51.9%,14,32,43.8%,15,17,88.2%,9,26,35,13,4,15,1,2,24,21,85,85,80,1,165,5
23,vs,Baskonia,20,31,64.5%,8,21,38.1%,20,22,90.9%,7,29,36,10,5,20,3,1,27,22,83,84,71,1,155,13
24,vs ,Anadolu Efes,17,29,58.6%,11,28,39.3%,12,13,92.3%,10,30,40,17,5,14,4,3,18,16,96,79,62,1,141,17
25,@,Barcelona,19,28,67.9%,8,20,40.0%,20,25,80.0%,6,27,33,17,1,15,4,1,24,22,93,82,78,1,160,4
26,@,Paris,19,36,52.8%,8,23,34.8%,30,39,76.9%,12,27,39,21,9,14,2,2,22,28,112,92,90,1,182,2
27,@,Panathinaikos,15,28,53.6%,13,30,43.3%,16,18,88.9%,9,26,35,25,3,15,6,0,19,19,107,85,83,1,168,2
28,vs,Partizan,19,38,50.0%,6,24,25.0%,25,30,83.3%,15,18,33,12,9,11,6,2,21,23,88,81,78,1,159,3
29,vs,AS Monaco,24,37,64.9%,10,29,34.5%,10,16,62.5%,14,29,43,16,2,13,1,4,19,19,96,88,70,1,158,18
30,@,Crvena Zvezda,20,38,52.6%,7,31,22.6%,12,15,80.0%,15,26,41,10,6,14,4,2,28,19,64,73,79,0,152,-6
31,@,Olympiacos,19,33,57.6%,14,28,50.0%,7,7,100.0%,8,17,25,18,6,17,2,3,20,14,84,87,104,0,191,-17
32,vs,Armani Milan,26,42,61.9%,6,23,26.1%,9,11,81.8%,12,27,39,14,6,13,3,1,17,17,92,79,75,1,154,4
33,@,Maccabi,18,35,51.4%,10,25,40.0%,23,29,79.3%,12,7,19,20,7,16,3,2,25,22,91,89,94,0,183,-5
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2.6
Average,,,19.4,35.4,55.1%,9.5,26.1,36.2%,15.4,19.1,81.2%,11.1,24.4,35.5,16.2,5.2,13.5,2.8,2.1,23.2,20.1,87.5,82.6,80,23,162.6,
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
,,,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,,
