Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,vs,Barcelona,25,41,61.0%,13,24,54.2%,14,15,93.3%,9,18,27,19,8,12,5,1,19,16,118,103,87,1,190,16
2,@,Anadolu Efes,22,44,50.0%,6,19,31.6%,25,28,89.3%,12,19,31,12,2,8,2,2,23,20,83,87,81,1,168,6
3,vs,Maccabi,23,30,76.7%,9,26,34.6%,17,24,70.8%,5,22,27,15,5,16,1,1,21,21,90,90,103,0,193,-13
4,@,Valencia,25,41,61.0%,12,26,46.2%,14,15,93.3%,6,26,32,21,9,13,1,4,19,21,117,100,93,1,193,7
5,@,Paris,14,32,43.8%,12,32,37.5%,25,29,86.2%,12,32,44,20,6,14,5,5,24,25,104,89,88,1,177,1
6,vs,AS Monaco,25,39,64.1%,8,23,34.8%,11,13,84.6%,9,25,34,19,5,14,7,1,19,18,103,85,77,1,162,8
7,vs,Partizan,23,34,67.6%,12,26,46.2%,15,20,75.0%,7,25,32,19,5,11,6,1,20,22,119,97,84,1,181,13
8,@,Olympiacos,15,31,48.4%,7,29,24.1%,7,9,77.8%,7,27,34,12,6,14,2,3,18,16,53,58,62,0,120,-4
9,@,Dubai,28,46,60.9%,11,23,47.8%,20,26,76.9%,13,27,40,17,1,10,4,2,27,26,122,109,97,1,206,12
10,vs,Baskonia,28,44,63.6%,12,21,57.1%,22,23,95.7%,12,21,33,20,6,10,1,4,19,22,137,114,89,1,203,25
11,@,Fenerbahce,18,40,45.0%,8,23,34.8%,8,9,88.9%,10,22,32,11,4,12,2,5,15,22,69,68,74,0,142,-6
12,@,Armani Milan,31,43,72.1%,10,22,45.5%,13,14,92.9%,8,29,37,23,4,10,2,5,22,16,125,105,83,1,188,22
13,vs,Real Madrid,15,29,51.7%,12,31,38.7%,8,8,100.0%,4,26,30,12,5,12,4,5,20,18,73,74,75,0,149,-1
14,vs,Asvel,28,51,54.9%,5,18,27.8%,16,20,80.0%,7,29,36,19,10,10,0,6,15,22,103,87,80,1,167,7
15,@,Virtus,24,38,63.2%,8,23,34.8%,7,10,70.0%,9,22,31,13,11,13,1,4,16,22,92,79,74,1,153,5
16,vs,Crvena Zvezda,17,28,60.7%,12,34,35.3%,14,19,73.7%,11,26,37,21,8,12,7,1,19,23,110,84,78,1,162,6
17,@,Panathinaikos,23,35,65.7%,9,29,31.0%,9,20,45.0%,13,27,40,18,1,13,1,2,22,20,82,82,93,0,175,-11
