Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,@,Anadolu Efes,21,38,55.3%,7,27,25.9%,15,17,88.2%,12,20,32,20,8,12,3,1,20,21,90,78,85,0,163,-7
2,vs,Paris,17,40,42.5%,12,31,38.7%,24,33,72.7%,16,21,37,25,13,16,1,2,24,26,103,94,101,0,195,-7
3,@,Hapoel,23,39,59.0%,14,24,58.3%,15,19,78.9%,6,19,25,24,8,12,1,1,22,21,117,103,90,1,193,13
4,vs,Barcelona,14,30,46.7%,7,27,25.9%,22,29,75.9%,12,21,33,18,8,12,1,1,20,25,80,71,92,0,163,-21
5,vs,Olympiacos,25,43,58.1%,10,27,37.0%,14,19,73.7%,12,18,30,15,9,12,3,3,24,21,90,94,95,0,189,-1
6,vs,Real Madrid,25,38,65.8%,8,23,34.8%,18,22,81.8%,3,19,22,23,5,10,4,0,23,23,104,92,91,1,183,1
7,@,Panathinaikos,26,38,68.4%,7,26,26.9%,12,15,80.0%,10,25,35,21,4,14,3,1,25,17,92,85,99,0,184,-14
8,vs,Crvena Zvezda,18,43,41.9%,10,28,35.7%,26,37,70.3%,19,20,39,17,4,11,3,3,28,30,89,92,99,0,191,-7
9,vs,AS Monaco,30,50,60.0%,10,32,31.3%,17,21,81.0%,14,32,46,28,4,12,4,1,28,22,124,107,112,0,219,-5
10,@,Fenerbahce,20,49,40.8%,4,23,17.4%,23,26,88.5%,20,18,38,10,8,10,1,1,22,28,76,75,84,0,159,-9
11,vs,Baskonia,20,44,45.5%,10,24,41.7%,19,24,79.2%,16,27,43,20,5,12,3,2,14,23,112,89,83,1,172,6
12,@,Virtus,16,31,51.6%,12,40,30.0%,21,27,77.8%,21,18,39,26,9,9,1,2,20,23,107,89,99,0,188,-10
13,vs,Armani Milan,16,34,47.1%,14,27,51.9%,14,17,82.4%,7,19,26,17,3,12,3,2,24,19,84,88,102,0,190,-14
14,@,Zalgiris,21,45,46.7%,8,27,29.6%,17,24,70.8%,13,35,48,17,9,11,8,3,25,21,97,83,65,1,148,18
15,vs,Asvel,25,39,64.1%,7,28,25.0%,21,28,75.0%,14,32,46,17,5,11,5,2,18,24,116,92,84,1,176,8
