Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,@,Baskonia,25,46,54.3%,7,26,26.9%,31,32,96.9%,20,23,43,19,10,10,0,3,16,23,127,102,96,1,198,6
2,@,Real Madrid,16,34,47.1%,8,27,29.6%,21,28,75.0%,13,24,37,16,6,12,1,4,23,23,77,77,89,0,166,-12
3,vs,Dubai,20,34,58.8%,8,22,36.4%,22,30,73.3%,12,31,43,17,5,14,7,0,20,23,111,86,67,1,153,19
4,vs,Anadolu Efes,15,29,51.7%,9,26,34.6%,21,28,75.0%,10,29,39,14,6,14,3,4,18,24,90,78,82,0,160,-4
5,@,Maccabi,26,35,74.3%,9,26,34.6%,16,18,88.9%,10,23,33,26,2,16,3,3,21,24,115,95,94,1,189,1
6,@,Bayern Munich,24,35,68.6%,13,28,46.4%,9,15,60.0%,5,27,32,25,12,10,3,0,17,18,127,96,71,1,167,25
7,vs,AS Monaco,24,35,68.6%,4,22,18.2%,27,34,79.4%,12,24,36,16,3,13,2,0,23,26,98,87,92,0,179,-5
8,vs,Hapoel,16,33,48.5%,7,31,22.6%,9,10,90.0%,13,31,44,16,4,16,3,2,16,18,71,62,58,1,120,4
9,vs,Partizan,16,34,47.1%,8,22,36.4%,24,31,77.4%,15,25,40,17,8,18,2,1,14,22,97,80,71,1,151,9
10,vs,Zalgiris,26,42,61.9%,7,22,31.8%,22,30,73.3%,11,30,41,18,4,10,3,1,20,25,116,95,78,1,173,17
11,@,Armani Milan,21,36,58.3%,10,26,38.5%,15,18,83.3%,9,20,29,20,3,7,2,1,16,18,101,87,88,0,175,-1
12,vs,Paris,16,37,43.2%,14,32,43.8%,24,31,77.4%,18,20,38,24,12,12,2,3,19,26,120,98,86,1,184,12
13,@,Crvena Zvezda,15,27,55.6%,13,34,38.2%,11,15,73.3%,12,22,34,20,7,17,2,0,16,18,91,80,91,0,171,-11
14,@,Barcelona,22,36,61.1%,7,21,33.3%,20,22,90.9%,9,19,28,21,3,12,3,3,19,24,100,85,98,0,183,-13
15,vs,Valencia,20,31,64.5%,12,32,37.5%,16,22,72.7%,14,15,29,22,6,10,3,1,17,22,109,92,99,0,191,-7
16,vs,Asvel,26,38,68.4%,12,28,42.9%,19,24,79.2%,11,18,29,25,9,9,4,5,14,25,138,107,84,1,191,23
17,@,Virtus,17,28,60.7%,14,31,45.2%,21,24,87.5%,14,26,40,19,2,18,4,0,24,26,115,97,94,1,191,3
18,@,Panathinaikos,18,30,60.0%,10,31,32.3%,21,28,75.0%,15,24,39,21,4,13,4,2,18,24,106,87,82,1,169,5
19,@,Fenerbahce,23,41,56.1%,5,23,21.7%,19,22,86.4%,12,22,34,19,2,8,1,3,17,22,91,80,88,0,168,-8
20,vs,Bayern Munich,24,33,72.7%,9,33,27.3%,20,24,83.3%,14,21,35,28,10,15,0,1,16,21,120,95,80,1,175,15
21,@,Partizan,23,35,65.7%,16,36,44.4%,10,15,66.7%,10,35,45,28,5,8,2,2,16,22,143,104,66,1,170,38
22,vs,Maccabi,27,43,62.8%,11,26,42.3%,13,16,81.3%,18,22,40,29,5,16,0,2,16,20,126,100,93,1,193,7
23,@,Anadolu Efes,17,29,58.6%,7,22,31.8%,19,30,63.3%,9,27,36,20,4,10,6,2,21,22,91,74,68,1,142,6
24,vs,Barcelona,25,42,59.5%,7,27,25.9%,16,22,72.7%,15,23,38,19,10,12,3,1,21,21,101,87,75,1,162,12
25,@,Dubai,23,48,47.9%,8,26,30.8%,28,34,82.4%,14,24,38,27,7,13,1,1,22,27,113,98,108,0,206,-10
26,vs,Virtus,26,38,68.4%,13,28,46.4%,18,25,72.0%,11,29,40,26,7,10,2,3,18,26,145,109,77,1,186,32
27,vs,Crvena Zvezda,16,26,61.5%,14,35,40.0%,18,25,72.0%,10,22,32,23,7,14,1,1,20,23,105,92,86,1,178,6
28,@,Zalgiris,26,58,44.8%,9,30,30.0%,15,18,83.3%,20,32,52,24,7,14,3,8,28,18,92,94,99,0,193,-5
29,vs,Panathinaikos,19,30,63.3%,10,30,33.3%,18,25,72.0%,13,20,33,22,10,14,3,1,21,22,102,86,80,1,166,6
30,@,Paris,15,29,51.7%,17,30,56.7%,23,26,88.5%,11,30,41,21,9,15,2,4,20,25,133,104,87,1,191,17
31,@,AS Monaco,14,28,50.0%,12,30,40.0%,16,23,69.6%,10,23,33,13,8,15,1,1,20,24,84,80,81,0,161,-1
32,vs,Fenerbahce,30,37,81.1%,8,25,32.0%,20,22,90.9%,7,18,25,25,8,7,3,2,14,20,136,104,87,1,191,17
33,vs,Baskonia,31,44,70.5%,4,22,18.2%,16,23,69.6%,13,26,39,25,6,12,1,3,17,24,115,90,80,1,170,10
34,@,Valencia,19,33,57.6%,8,24,33.3%,22,30,73.3%,10,20,30,17,6,13,0,3,20,27,90,84,85,0,169,-1
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6.2
Average,,,21.2,35.7,59.6%,9.7,27.5,34.8%,18.8,24.1,78.1%,12.4,24.3,36.6,21.2,6.4,12.6,2.4,2.1,18.8,22.7,108.7,90.4,84.1,22,174.5,
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
,,,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,,
