Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,vs,Bayern Munich,26,42,61.9%,5,18,27.8%,20,23,87.0%,9,21,30,27,5,10,3,2,20,27,115,87,79,1,166,8
2,vs,Barcelona,23,51,45.1%,8,21,38.1%,26,30,86.7%,20,16,36,16,8,12,1,1,24,29,104,96,103,0,199,-7
3,@,Baskonia,24,48,50.0%,8,25,32.0%,14,20,70.0%,13,31,44,14,4,18,4,4,23,22,82,86,84,1,170,2
4,vs,Asvel,28,44,63.6%,7,20,35.0%,14,21,66.7%,13,25,38,21,1,8,2,1,20,21,109,91,85,1,176,6
5,@,Anadolu Efes,25,38,65.8%,9,27,33.3%,18,21,85.7%,11,23,34,27,6,11,1,3,17,17,115,95,81,1,176,14
6,@,Virtus,19,35,54.3%,4,21,19.0%,25,28,89.3%,7,21,28,13,4,13,4,1,19,27,82,75,92,0,167,-17
7,vs,Maccabi,26,49,53.1%,9,27,33.3%,20,25,80.0%,19,22,41,23,11,7,1,3,17,25,127,99,85,1,184,14
8,@,AS Monaco,25,43,58.1%,8,24,33.3%,10,16,62.5%,8,21,29,14,7,10,2,4,19,19,82,84,92,0,176,-8
9,@,Crvena Zvezda,15,35,42.9%,9,33,27.3%,11,16,68.8%,13,18,31,11,4,12,1,5,22,22,49,68,86,0,154,-18
10,@,Paris,24,42,57.1%,12,25,48.0%,17,26,65.4%,15,26,41,27,6,10,6,1,17,25,138,101,95,1,196,6
11,@,Real Madrid,22,26,84.6%,9,25,36.0%,16,20,80.0%,7,23,30,17,3,4,2,1,20,19,99,87,77,1,164,10
12,vs,Dubai,29,39,74.4%,11,27,40.7%,12,15,80.0%,9,27,36,24,6,10,4,0,19,18,133,103,82,1,185,21
13,vs,Partizan,27,43,62.8%,7,19,36.8%,16,24,66.7%,13,31,44,25,5,12,2,2,20,20,117,91,69,1,160,22
14,vs,Valencia,19,35,54.3%,8,27,29.6%,17,22,77.3%,8,26,34,21,9,17,0,1,20,24,89,79,89,0,168,-10
15,@,Armani Milan,25,47,53.2%,9,22,40.9%,12,14,85.7%,15,19,34,19,8,11,2,3,23,18,96,89,96,0,185,-7
16,@,Fenerbahce,19,44,43.2%,7,21,33.3%,22,25,88.0%,13,18,31,16,13,15,1,1,17,21,88,81,77,1,158,4
17,vs,Hapoel,25,44,56.8%,7,26,26.9%,22,23,95.7%,8,23,31,17,3,4,2,1,20,21,103,93,82,1,175,11
18,@,Zalgiris,23,42,54.8%,13,22,59.1%,7,10,70.0%,5,30,35,24,6,11,3,3,17,20,118,92,85,1,177,7
19,vs,Olympiacos,22,37,59.5%,7,28,25.0%,17,18,94.4%,12,21,33,15,5,11,2,4,25,18,78,82,87,0,169,-5
20,vs,Armani Milan,16,38,42.1%,10,21,47.6%,12,15,80.0%,5,26,31,20,7,17,3,6,17,21,80,74,87,0,161,-13
21,vs,Virtus,22,42,52.4%,6,21,28.6%,22,26,84.6%,11,28,39,18,10,10,5,3,20,22,106,84,71,1,155,13
22,@,Bayern Munich,21,35,60.0%,9,25,36.0%,9,11,81.8%,8,18,26,14,6,9,0,1,16,19,85,78,85,0,163,-7
23,vs,Baskonia,24,38,63.2%,11,23,47.8%,12,16,75.0%,11,16,27,18,6,9,2,0,15,18,110,93,74,1,167,19
24,@,Maccabi,19,37,51.4%,7,30,23.3%,12,15,80.0%,17,25,42,11,6,9,0,1,20,15,71,71,75,0,146,-4
