Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,@,Fenerbahce,12,40,30.0%,13,31,41.9%,14,22,63.6%,18,28,46,11,10,18,1,4,21,24,72,77,96,0,173,-19
2,@,Maccabi,24,35,68.6%,10,35,28.6%,23,31,74.2%,17,32,49,23,11,18,2,1,26,23,120,101,94,1,195,7
3,vs,Virtus,17,32,53.1%,14,40,35.0%,14,27,51.9%,20,19,39,18,13,15,5,2,23,22,93,90,79,1,169,11
4,vs,Baskonia,24,36,66.7%,13,36,36.1%,18,24,75.0%,14,27,41,18,8,12,5,4,28,18,110,105,87,1,192,18
5,vs,Hapoel,20,46,43.5%,8,31,25.8%,24,27,88.9%,16,25,41,17,6,11,5,5,25,24,88,88,89,0,177,-1
6,@,Partizan,20,31,64.5%,17,30,56.7%,10,10,100.0%,11,25,36,22,9,21,4,2,24,14,115,101,83,1,184,18
7,vs,Anadolu Efes,11,29,37.9%,12,35,34.3%,22,27,81.5%,19,22,41,17,5,18,3,4,23,22,77,80,90,0,170,-10
8,@,Armani Milan,19,37,51.4%,8,36,22.2%,15,18,83.3%,18,27,45,14,4,12,2,4,20,19,76,77,86,0,163,-9
9,vs,Bayern Munich,18,39,46.2%,8,30,26.7%,22,27,81.5%,15,25,40,10,5,12,2,4,20,28,83,82,86,0,168,-4
10,vs,Panathinaikos,18,37,48.6%,14,39,35.9%,17,23,73.9%,20,19,39,15,8,10,1,6,26,16,82,95,101,0,196,-6
11,vs,Valencia,18,35,51.4%,12,35,34.3%,18,20,90.0%,15,22,37,25,10,18,2,2,27,25,100,90,86,1,176,4
12,@,Olympiacos,16,29,55.2%,15,37,40.5%,9,11,81.8%,14,25,39,20,7,19,3,2,27,19,89,86,98,0,184,-12
13,@,Dubai,17,41,41.5%,11,28,39.3%,22,30,73.3%,15,25,40,19,7,10,2,4,31,27,90,89,90,0,179,-1
14,@,AS Monaco,26,49,53.1%,14,28,50.0%,10,17,58.8%,13,18,31,9,10,15,2,4,21,21,93,104,125,0,229,-21
