Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,@,Dubai,19,43,44.2%,7,18,38.9%,17,21,81.0%,15,19,34,16,4,13,2,0,16,19,83,76,89,0,165,-13
2,vs,Armani Milan,18,40,45.0%,11,21,52.4%,11,16,68.8%,8,22,30,15,9,9,1,4,22,20,83,80,78,1,158,2
3,vs,Anadolu Efes,30,48,62.5%,5,22,22.7%,18,22,81.8%,15,20,35,17,9,7,1,2,23,20,104,93,87,1,180,6
4,@,Real Madrid,18,33,54.5%,11,26,42.3%,17,22,77.3%,7,17,24,15,5,7,1,3,17,23,92,86,93,0,179,-7
5,@,Baskonia,26,51,51.0%,10,18,55.6%,9,12,75.0%,13,23,36,19,3,8,2,7,16,19,103,91,79,1,170,12
6,vs,Paris,19,35,54.3%,9,35,25.7%,18,23,78.3%,17,13,30,12,7,14,2,4,14,24,79,83,101,0,184,-18
7,@,Hapoel,24,45,53.3%,8,22,36.4%,12,15,80.0%,10,21,31,16,6,12,1,6,22,18,78,84,97,0,181,-13
8,vs,Barcelona,21,39,53.8%,8,26,30.8%,10,15,66.7%,13,27,40,21,4,14,2,0,24,18,82,76,78,0,154,-2
9,@,Olympiacos,26,44,59.1%,5,17,29.4%,4,5,80.0%,5,21,26,16,12,15,1,2,22,14,70,71,80,0,151,-9
10,vs,AS Monaco,13,34,38.2%,13,30,43.3%,13,16,81.3%,10,28,38,15,9,16,2,2,28,17,72,78,76,1,154,2
11,@,Asvel,22,31,71.0%,10,32,31.3%,13,13,100.0%,11,22,33,16,7,17,5,5,23,17,89,87,88,0,175,-1
12,vs,Fenerbahce,22,39,56.4%,7,19,36.8%,22,28,78.6%,7,21,28,14,7,9,3,0,25,27,97,87,99,0,186,-12
13,@,Panathinaikos,21,38,55.3%,4,24,16.7%,15,16,93.8%,4,18,22,14,6,7,2,2,20,20,66,69,91,0,160,-22
14,vs,Bayern Munich,27,52,51.9%,8,23,34.8%,14,23,60.9%,14,24,38,19,6,6,2,3,18,23,104,92,85,1,177,7
15,vs,Crvena Zvezda,26,42,61.9%,4,24,16.7%,15,17,88.2%,12,25,37,14,9,12,0,3,19,21,88,79,76,1,155,3
16,vs,Virtus,20,39,51.3%,8,22,36.4%,4,5,80.0%,6,27,33,15,5,20,6,1,21,17,68,68,86,0,154,-18
17,@,Zalgiris,22,38,57.9%,5,21,23.8%,9,14,64.3%,7,11,18,17,5,15,2,2,21,20,55,68,109,0,177,-41
18,vs,Maccabi,17,31,54.8%,13,33,39.4%,14,18,77.8%,8,19,27,22,4,14,1,2,19,20,88,87,112,0,199,-25
19,@,Valencia,19,32,59.4%,9,27,33.3%,8,11,72.7%,7,25,32,20,7,14,3,2,23,15,77,73,86,0,159,-13
20,@,AS Monaco,21,33,63.6%,11,27,40.7%,9,12,75.0%,4,17,21,15,10,15,1,4,20,16,77,84,101,0,185,-17
21,@,Barcelona,21,40,52.5%,6,21,28.6%,10,13,76.9%,12,22,34,13,6,15,3,1,22,14,65,70,88,0,158,-18
22,vs,Olympiacos,16,35,45.7%,6,29,20.7%,16,19,84.2%,6,23,29,13,6,9,2,2,22,15,53,66,104,0,170,-38
23,@,Bayern Munich,12,30,40.0%,11,28,39.3%,10,10,100.0%,12,28,40,14,10,19,2,3,17,17,76,67,63,1,130,4
24,vs,Hapoel,24,39,61.5%,12,34,35.3%,20,22,90.9%,12,25,37,23,13,15,3,2,24,22,122,104,101,1,205,3
25,@,Armani Milan,19,37,51.4%,9,22,40.9%,14,16,87.5%,8,22,30,19,4,10,3,2,25,21,86,79,85,0,164,-6
26,@,Maccabi,22,35,62.9%,12,30,40.0%,13,15,86.7%,12,22,34,23,8,12,1,2,18,18,112,93,95,0,188,-2
27,vs,Panathinaikos,24,39,61.5%,6,23,26.1%,12,15,80.0%,7,28,35,20,8,12,1,1,19,22,97,78,62,1,140,16
28,vs,Real Madrid,25,51,49.0%,7,28,25.0%,2,3,66.7%,17,22,39,14,6,6,5,3,20,11,71,73,77,0,150,-4
29,@,Fenerbahce,26,41,63.4%,3,15,20.0%,17,18,94.4%,6,24,30,21,6,15,2,6,23,21,86,78,81,0,159,-3
30,@,Virtus,23,37,62.2%,10,31,32.3%,12,19,63.2%,15,26,41,22,8,13,5,3,23,22,105,88,82,1,170,6
31,vs,Dubai,22,39,56.4%,11,29,37.9%,11,13,84.6%,12,22,34,15,8,11,3,4,22,19,93,88,74,1,162,14
32,@,Paris,29,53,54.7%,7,21,33.3%,11,12,91.7%,16,31,47,27,7,14,2,8,23,17,106,90,81,1,171,9
33,vs,Asvel,15,33,45.5%,10,24,41.7%,19,25,76.0%,7,27,34,21,10,16,4,2,19,25,98,79,78,1,157,1
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,-6.0
Average,,,21.5,39.3,54.7%,8.4,24.9,33.6%,12.7,15.9,80.1%,10.2,22.5,32.6,17.4,7.1,12.5,2.3,2.8,20.9,19.2,85.6,80.8,86.7,13,167.5,
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,F,A,C,D,,M,R,1/0,,
,,,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,,
