Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,@,Virtus,26,43,60.5%,3,23,13.0%,7,11,63.6%,13,25,38,12,7,10,3,2,18,19,74,68,74,0,142,-6
2,vs,Olympiacos,20,39,51.3%,10,24,41.7%,19,26,73.1%,12,25,37,19,7,10,4,1,23,23,105,89,77,1,166,12
3,vs,Asvel,16,24,66.7%,11,33,33.3%,20,24,83.3%,10,27,37,24,8,12,3,2,17,23,115,85,72,1,157,13
4,vs,Partizan,23,31,74.2%,10,30,33.3%,17,19,89.5%,10,26,36,19,4,14,3,1,23,17,104,93,86,1,179,7
5,@,Crvena Zvezda,23,42,54.8%,5,27,18.5%,14,23,60.9%,18,22,40,13,8,13,2,4,25,23,69,75,90,0,165,-15
6,@,Maccabi,19,36,52.8%,11,27,40.7%,20,29,69.0%,17,24,41,23,5,17,0,4,23,23,97,91,92,0,183,-1
7,@,Bayern Munich,19,36,52.8%,9,27,33.3%,19,24,79.2%,9,26,35,14,5,13,3,3,22,24,87,84,90,0,174,-6
8,vs,Fenerbahce,21,37,56.8%,9,22,40.9%,15,17,88.2%,6,34,40,19,5,14,9,3,19,21,111,84,58,1,142,26
9,@,Barcelona,19,34,55.9%,15,26,57.7%,18,19,94.7%,10,26,36,18,3,17,2,0,21,21,116,101,92,1,193,9
10,@,Valencia,13,34,38.2%,7,31,22.6%,29,34,85.3%,14,37,51,16,5,16,8,4,24,24,86,76,89,0,165,-13
11,vs,Panathinaikos,20,41,48.8%,7,21,33.3%,16,18,88.9%,12,23,35,14,4,9,1,2,19,20,85,77,87,0,164,-10
12,vs,Zalgiris,33,54,61.1%,2,9,22.2%,28,33,84.8%,11,22,33,14,9,12,4,1,21,26,119,100,99,1,199,1
13,@,Hapoel,17,31,54.8%,10,27,37.0%,11,16,68.8%,8,26,34,13,6,14,5,4,18,20,81,75,74,1,149,1
