Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,@,Asvel,14,35,40.0%,12,35,34.3%,16,23,69.6%,20,30,50,21,6,15,3,1,22,22,93,80,77,1,157,3
2,vs,Virtus,26,39,66.7%,12,30,40.0%,15,21,71.4%,15,25,40,22,5,17,5,1,20,21,121,103,94,1,197,9
3,@,Barcelona,25,35,71.4%,19,29,65.5%,13,16,81.3%,8,17,25,23,8,13,4,1,23,18,114,102,108,0,210,-6
4,vs,Hapoel,21,37,56.8%,13,35,37.1%,12,18,66.7%,12,24,36,21,9,13,4,1,21,19,103,93,100,0,193,-7
5,@,AS Monaco,18,39,46.2%,11,33,33.3%,15,18,83.3%,19,25,44,19,9,14,4,6,24,21,95,84,90,0,174,-6
6,@,Armani Milan,20,29,69.0%,15,34,44.1%,18,23,78.3%,10,25,35,18,3,9,2,2,24,20,113,103,100,1,203,3
7,vs,Fenerbahce,22,40,55.0%,10,32,31.3%,20,23,87.0%,16,26,42,17,5,13,3,3,20,21,103,94,79,1,173,15
8,vs,Dubai,18,30,60.0%,11,35,31.4%,11,15,73.3%,13,27,40,18,4,19,2,3,18,18,82,80,78,1,158,2
9,@,Zalgiris,24,49,49.0%,8,22,36.4%,5,7,71.4%,14,18,32,16,8,9,4,5,25,17,74,77,86,0,163,-9
10,vs,Real Madrid,14,28,50.0%,16,41,39.0%,13,21,61.9%,5,32,37,20,8,9,4,8,24,24,94,89,76,1,165,13
11,@,Paris,13,29,44.8%,14,33,42.4%,18,27,66.7%,15,26,41,17,9,23,2,2,25,27,88,86,90,0,176,-4
12,vs,Crvena Zvezda,17,33,51.5%,10,31,32.3%,12,18,66.7%,9,22,31,19,13,12,5,2,20,17,84,76,73,1,149,3
13,vs,Bayern Munich,20,39,51.3%,11,30,36.7%,17,25,68.0%,17,31,48,16,4,11,3,4,15,23,108,90,64,1,154,26
