Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,vs,Real Madrid,19,35,54.3%,8,22,36.4%,12,17,70.6%,6,25,31,15,2,10,2,3,19,18,75,74,68,1,142,6
2,@,Valencia,27,47,57.4%,8,23,34.8%,16,17,94.1%,11,16,27,22,6,14,1,5,21,20,94,94,103,0,197,-9
3,@,Paris,17,29,58.6%,10,29,34.5%,15,18,83.3%,11,27,38,20,7,26,2,5,23,23,81,79,90,0,169,-11
4,vs,AS Monaco,15,32,46.9%,11,33,33.3%,14,16,87.5%,15,29,44,18,5,13,4,4,21,18,87,77,73,1,150,4
5,@,Asvel,22,29,75.9%,11,31,35.5%,13,15,86.7%,14,16,30,22,7,17,1,4,25,21,96,90,83,1,173,7
6,vs,Panathinaikos,27,48,56.3%,9,22,40.9%,11,16,68.8%,11,28,39,22,10,13,1,4,27,19,100,92,75,1,167,17
7,@,Zalgiris,18,34,52.9%,5,20,25.0%,14,19,73.7%,4,22,26,16,8,12,1,5,18,18,63,65,86,0,151,-21
8,@,Bayern Munich,18,33,54.5%,8,26,30.8%,10,16,62.5%,10,23,33,17,7,20,1,3,26,18,58,70,86,0,156,-16
9,@,Baskonia,17,38,44.7%,8,25,32.0%,18,20,90.0%,13,22,35,19,5,14,3,2,20,23,85,76,87,0,163,-11
10,vs,Anadolu Efes,20,25,80.0%,18,34,52.9%,5,7,71.4%,5,22,27,27,6,14,3,2,16,16,121,99,89,1,188,10
11,@,Barcelona,23,38,60.5%,7,20,35.0%,14,20,70.0%,11,25,36,19,7,13,0,3,18,20,95,81,88,0,169,-7
12,vs,Maccabi,17,23,73.9%,17,38,44.7%,14,21,66.7%,12,23,35,27,6,13,2,1,23,20,118,99,89,1,188,10
13,@,Fenerbahce,14,26,53.8%,8,27,29.6%,12,16,75.0%,7,29,36,17,6,16,2,3,22,19,68,64,66,0,130,-2
14,vs,Dubai,17,39,43.6%,11,23,47.8%,12,15,80.0%,7,23,30,15,11,10,2,3,21,20,86,79,78,1,157,1
15,vs,Hapoel,17,32,53.1%,11,29,37.9%,7,10,70.0%,13,22,35,23,4,18,4,1,22,16,79,74,79,0,153,-5
16,@,Partizan,22,37,59.5%,11,31,35.5%,9,16,56.3%,11,26,37,22,12,12,1,6,17,21,102,86,68,1,154,18
17,@,Crvena Zvezda,17,26,65.4%,12,25,48.0%,19,23,82.6%,4,23,27,22,8,17,2,2,22,20,101,89,90,0,179,-1
18,vs,Olympiacos,21,38,55.3%,11,24,45.8%,19,25,76.0%,6,13,19,22,12,7,0,4,26,24,98,94,97,0,191,-3
19,vs,Armani Milan,25,41,61.0%,12,24,50.0%,11,12,91.7%,10,20,30,20,8,16,3,3,24,21,107,97,85,1,182,12
20,vs,Zalgiris,18,31,58.1%,10,33,30.3%,17,19,89.5%,14,23,37,19,5,14,3,2,21,20,92,83,79,1,162,4
21,@,Panathinaikos,17,34,50.0%,9,29,31.0%,10,10,100.0%,9,26,35,14,5,16,3,5,23,20,67,71,84,0,155,-13
22,@,Dubai,21,38,55.3%,8,26,30.8%,14,19,73.7%,13,30,43,17,6,11,2,7,17,21,94,80,72,1,152,8
23,vs,Fenerbahce,21,37,56.8%,6,26,23.1%,20,26,76.9%,12,22,34,17,7,10,2,1,21,24,90,80,85,0,165,-5
24,vs,Crvena Zvezda,26,41,63.4%,8,25,32.0%,17,23,73.9%,11,17,28,22,5,10,1,1,15,22,107,93,102,0,195,-9
25,@,AS Monaco,20,33,60.6%,10,25,40.0%,14,16,87.5%,11,25,36,18,6,14,3,0,20,15,98,84,82,1,166,2
26,vs,Asvel,19,34,55.9%,7,22,31.8%,11,13,84.6%,6,22,28,16,6,14,1,2,21,21,73,70,80,0,150,-10
27,@,Olympiacos,20,35,57.1%,10,28,35.7%,7,16,43.8%,9,18,27,20,3,13,3,2,26,18,65,77,109,0,186,-32
28,@,Anadolu Efes,14,37,37.8%,5,26,19.2%,17,21,81.0%,18,23,41,12,2,12,1,6,17,21,54,60,91,0,151,-31
29,vs,Barcelona,32,47,68.1%,4,20,20.0%,9,14,64.3%,14,18,32,24,9,10,0,4,16,18,102,85,80,1,165,5
30,@,Real Madrid,19,33,57.6%,12,30,40.0%,10,12,83.3%,12,22,34,18,5,15,3,7,22,19,58,84,92,0,176,-8
31,vs,Partizan,18,41,43.9%,8,26,30.8%,22,25,88.0%,17,22,39,15,6,12,3,5,22,22,84,82,88,0,170,-6
32,@,Hapoel,24,40,60.0%,7,26,26.9%,22,26,84.6%,9,19,28,25,8,15,3,2,23,21,97,91,109,0,200,-18
