Round,Home / Away,Opponent,2 FG,,,3FG,,,1FT,,,Rebounds,,,AST,STL,TO,Blocks,,Fouls,,PIR,SCORE,,Win/Lose,Total,Gap
,,,M,A,%,M,A,%,M,A,%,O,D,T,,,,,,C,D,,M,R,1/0,,
1,@,AS Monaco,21,41,51.2%,12,25,48.0%,11,16,68.8%,9,23,32,21,5,8,2,4,18,22,103,89,84,1,173,5
2,vs,Fenerbahce,21,37,56.8%,8,21,38.1%,18,27,66.7%,8,23,31,16,5,12,5,3,19,22,91,84,81,1,165,3
3,@,Bayern Munich,18,34,52.9%,14,24,58.3%,20,22,90.9%,10,20,30,18,10,10,3,0,22,24,123,98,70,1,168,28
4,@,Crvena Zvezda,19,37,51.4%,8,25,32.0%,17,22,77.3%,10,19,29,18,11,16,1,5,26,22,73,79,88,0,167,-9
5,vs,Armani Milan,16,36,44.4%,12,32,37.5%,10,13,76.9%,17,21,38,19,7,11,2,3,18,15,84,78,89,0,167,-11
6,@,Barcelona,22,36,61.1%,11,27,40.7%,11,14,78.6%,8,22,30,16,9,11,3,2,21,16,95,88,73,1,161,15
7,vs,Virtus,20,35,57.1%,10,25,40.0%,16,21,76.2%,9,30,39,20,5,13,5,1,18,18,106,86,65,1,151,21
8,vs,Asvel,25,36,69.4%,9,17,52.9%,19,24,79.2%,8,31,39,25,7,15,2,0,16,25,139,96,59,1,155,37
9,vs,Valencia,17,34,50.0%,12,29,41.4%,16,22,72.7%,16,25,41,17,4,14,5,4,17,25,103,86,77,1,163,9
10,@,Olympiacos,21,45,46.7%,6,33,18.2%,18,25,72.0%,25,22,47,13,4,10,1,3,25,20,67,78,95,0,173,-17
11,@,Dubai,24,45,53.3%,9,26,34.6%,14,19,73.7%,14,21,35,21,3,12,1,1,21,21,93,89,95,0,184,-6
12,@,Real Madrid,23,32,71.9%,12,27,44.4%,17,21,81.0%,3,21,24,21,6,13,1,4,27,21,100,99,100,0,199,-1
13,vs,Baskonia,16,40,40.0%,14,23,60.9%,8,15,53.3%,8,24,32,19,6,11,3,4,17,21,91,82,67,1,149,15
14,vs,Maccabi,14,46,30.4%,5,29,17.2%,18,25,72.0%,20,33,53,12,6,12,3,8,21,25,62,65,83,0,148,-18
15,@,Paris,31,49,63.3%,10,21,47.6%,16,24,66.7%,12,27,39,27,4,13,6,1,18,23,138,108,105,1,213,3
16,vs,Anadolu Efes,16,34,47.1%,7,26,26.9%,11,15,73.3%,8,26,34,16,3,9,2,2,20,20,67,64,87,0,151,-23
17,vs,Partizan,34,46,73.9%,9,22,40.9%,14,19,73.7%,15,26,41,26,4,15,2,2,20,19,134,109,68,1,177,41
18,vs,Panathinaikos,27,50,54.0%,7,22,31.8%,10,15,66.7%,12,21,33,19,6,9,3,3,20,17,88,85,92,0,177,-7
19,@,Hapoel,28,51,54.9%,8,15,53.3%,13,16,81.3%,11,29,40,17,2,10,1,3,19,17,105,93,80,1,173,13
20,@,Virtus,22,46,47.8%,7,18,38.9%,14,18,77.8%,12,20,32,22,8,12,2,3,20,21,90,79,83,0,162,-4
21,vs,Crvena Zvezda,22,40,55.0%,13,26,50.0%,12,14,85.7%,10,22,32,27,9,11,4,1,21,15,122,99,67,1,166,32
22,@,Maccabi,20,33,60.6%,13,33,39.4%,18,20,90.0%,12,24,36,22,3,11,2,4,20,20,110,97,100,0,197,-3
23,@,Asvel,25,35,71.4%,7,21,33.3%,25,30,83.3%,8,26,34,18,11,12,4,2,19,24,125,96,77,1,173,19
24,@,Armani Milan,16,36,44.4%,10,23,43.5%,24,30,80.0%,11,14,25,15,6,9,0,2,21,24,85,86,82,1,168,4
25,@,Baskonia,21,33,63.6%,10,28,35.7%,19,22,86.4%,8,20,28,17,2,9,3,4,27,17,85,91,102,0,193,-11
26,vs,AS Monaco,23,41,56.1%,13,31,41.9%,19,29,65.5%,16,28,44,27,4,12,1,4,27,28,119,104,87,1,191,17
27,@,Anadolu Efes,20,39,51.3%,10,19,52.6%,12,16,75.0%,8,25,33,21,6,16,3,3,18,18,94,82,92,0,174,-10
28,vs,Hapoel,29,42,69.0%,7,23,30.4%,14,15,93.3%,10,18,28,19,8,9,1,3,17,18,108,93,82,1,175,11
29,vs,Olympiacos,23,44,52.3%,12,30,40.0%,17,27,63.0%,13,29,42,18,9,13,8,3,18,28,121,99,94,1,193,5
30,@,Valencia,21,37,56.8%,12,25,48.0%,9,12,75.0%,7,22,29,25,6,9,0,2,22,14,96,87,91,0,178,-4
31,@,Panathinaikos,21,38,55.3%,9,23,39.1%,19,25,76.0%,11,22,33,14,6,13,3,2,24,23,91,88,92,0,180,-4
32,vs,Real Madrid,25,48,52.1%,9,21,42.9%,10,14,71.4%,12,24,36,17,2,8,4,3,18,18,96,87,85,1,172,2
33,vs,Bayern Munich,22,41,53.7%,7,25,28.0%,13,17,76.5%,13,19,32,18,10,10,2,1,16,20,92,78,71,1,149,7
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,,0,0,
