Stats_ID,Match_ID,Team_ID,2 pt made,2 pt attemps,3 pt made,3 pt attemps,1 pt made,1 pt attemps,offensive rebound,defensive rebound,assists,steals ,turnovers,blocks made,blocks received,fouls committed,fouls drawn,points made,points received,pir
1,1,11,25,41,13,24,14,15,9,18,19,8,12,5,1,19,16,103,87,118
2,1,7,22,38,10,25,13,17,14,18,18,9,15,1,5,16,19,87,103,95
3,2,6,23,45,11,20,10,12,10,22,21,5,8,0,2,19,16,89,76,101
4,2,16,19,43,7,18,17,21,15,19,16,4,13,2,0,16,19,76,89,83
5,3,1,23,37,9,29,12,15,14,26,15,6,14,1,3,21,20,85,78,92
6,3,13,21,38,7,27,15,17,12,20,20,8,12,3,1,20,21,78,85,90
7,4,5,28,46,6,19,8,13,10,20,19,8,10,0,0,21,16,82,92,88
8,4,4,23,36,11,24,13,18,10,22,18,8,13,0,0,16,21,92,82,111
9,5,14,26,42,5,18,20,23,9,21,27,5,10,3,2,20,27,87,79,115
10,5,8,20,37,8,28,15,21,18,20,23,3,13,2,3,27,20,79,87,79
11,6,9,19,31,15,41,13,16,15,19,24,7,14,3,0,23,16,96,102,102
12,6,12,25,46,7,26,31,32,20,23,19,10,10,0,3,16,23,102,96,127
13,7,19,19,35,8,22,12,17,6,25,15,2,10,2,3,19,18,74,68,75
14,7,17,26,43,3,23,7,11,13,25,12,7,10,3,2,18,19,68,74,74
15,8,2,30,50,5,18,9,12,12,28,19,4,11,4,2,22,18,84,89,98
16,8,20,21,41,12,25,11,16,9,23,21,5,8,2,4,18,22,89,84,103
17,9,10,18,27,15,35,15,21,5,30,25,7,16,4,1,24,21,96,77,112
18,9,15,12,40,13,31,14,22,18,28,11,10,18,1,4,21,24,77,96,72
19,10,3,20,39,8,26,13,16,9,26,13,5,12,1,3,22,21,77,80,75
20,10,18,14,35,12,35,16,23,20,30,21,6,15,3,1,22,22,80,77,93
21,11,16,18,40,11,21,11,16,8,22,15,9,9,1,4,22,20,80,78,83
22,11,4,13,25,13,26,13,19,4,26,19,4,16,4,1,20,22,78,80,89
23,12,8,24,34,14,32,7,11,11,16,20,9,9,1,1,27,18,97,88,103
24,12,5,17,29,10,25,24,30,11,18,14,2,15,1,1,19,26,88,97,92
25,13,17,20,39,10,24,19,26,12,25,19,7,10,4,1,23,23,89,77,105
26,13,12,16,34,8,27,21,28,13,24,16,6,12,1,4,23,23,77,89,77
27,14,20,21,37,8,21,18,27,8,23,16,5,12,5,3,19,22,84,81,91
28,14,10,28,46,6,23,7,10,11,23,12,4,10,3,5,22,19,81,84,78
29,15,2,30,49,10,18,13,18,8,22,27,9,8,3,2,24,25,103,81,131
30,15,6,22,34,5,24,22,23,10,19,13,5,16,2,3,25,24,81,103,78
31,16,1,23,39,5,20,20,21,12,20,12,4,8,2,2,21,23,81,87,91
32,16,11,22,44,6,19,25,28,12,19,12,2,8,2,2,23,20,87,81,83
33,17,3,22,42,14,30,16,24,16,19,22,11,13,3,1,21,20,102,95,114
34,17,9,20,31,14,32,13,18,10,24,24,8,16,1,3,21,20,95,102,108
35,18,14,23,51,8,21,26,30,20,16,16,8,12,1,1,24,29,96,103,104
36,18,7,18,33,16,34,19,25,17,21,23,4,17,1,1,29,23,103,96,106
37,19,18,26,39,12,30,15,21,15,25,22,5,17,5,1,20,21,103,94,121
38,19,19,27,47,8,23,16,17,11,16,22,6,14,1,5,21,20,94,103,94
39,20,13,17,40,12,31,24,33,16,21,25,13,16,1,2,24,26,94,101,103
40,20,15,24,35,10,35,23,31,17,32,23,11,18,2,1,26,23,101,94,120
41,21,11,23,30,9,26,17,24,5,22,15,5,16,1,1,21,21,90,103,90
42,21,13,23,39,14,24,15,19,6,19,24,8,12,1,1,22,21,103,90,117
43,22,16,30,48,5,22,18,22,15,20,17,9,7,1,2,23,20,93,87,104
44,22,1,13,20,12,32,25,30,8,22,18,5,14,2,1,20,23,87,93,98
45,23,4,19,39,9,30,14,18,12,29,17,2,7,3,3,25,21,79,82,83
46,23,2,20,34,7,26,21,30,9,29,18,2,7,3,3,21,24,82,79,94
47,24,9,24,45,7,26,15,21,10,30,16,10,16,4,4,22,23,84,86,89
48,24,14,24,48,8,25,14,20,13,31,14,4,18,4,4,23,22,86,84,82
49,25,15,17,32,14,40,14,27,20,19,18,13,15,5,2,23,22,90,79,93
50,25,19,17,29,10,29,15,18,11,27,20,7,26,2,5,23,23,79,90,81
51,26,17,16,24,11,33,20,24,10,27,24,8,12,3,2,17,23,85,72,115
52,26,3,16,36,10,34,10,10,17,22,11,5,14,2,3,23,17,72,85,62
53,27,10,11,28,9,27,32,44,10,25,21,5,15,2,3,26,28,81,86,81
54,27,5,23,42,6,20,22,33,13,29,19,6,17,3,2,28,26,86,81,91
55,28,12,20,34,8,22,22,30,12,31,17,5,14,7,0,20,23,86,67,111
56,28,6,19,39,4,24,17,22,9,19,17,6,8,0,7,24,20,67,86,54
